n|j|name|type|date|title|org|geo|freq|resources|tags|author|email|orgh|licID|lictitle|notes
27|0|2013|dataset|2020-07-08|אוכלוסייה ומקבלי גמלאות לפי יישוב - שנת 2013|social_security|No|NA|25|6|--|cochava@nioi.gov.il|המוסד לביטוח לאומי|||מובאים בזאת נתונים דמוגרפיים על האוכלוסייה בישראל לפי קבוצות גיל ונתונים על מספר מקבלי הקצבאות במוסד לביטוח לאומי לפי יישוב, מועצה אזורית, מחוז ונפה לפי שנים. כמו כן, מובאים נתונים על סכום קצבה ממוצע בכל יישוב, מועצה אזורית, מחוז או נפה לפי סוג הקצבה.הנתונים המוצגים נוגעים לגודל האוכלוסייה בכל יישוב ולהתפלגותה לפי גיל: צעירים עד גיל 18, גילאי עבודה וקשישים. מידע זה יאפשר מדידת "יחס התלות הכלכלית" בכל יישוב והשוואה בין יישובים. למדד זה חשיבות רבה במדידת חוסנו הכלכלי של היישוב.
28|0|2014|dataset|2020-07-08|אוכלוסייה ומקבלי גמלאות לפי יישוב - שנת 2014|social_security|No|NA|24|2|--|cochava@nioi.gov.il|המוסד לביטוח לאומי|||מובאים בזאת נתונים דמוגרפיים על האוכלוסייה בישראל לפי קבוצות גיל ונתונים על מספר מקבלי הקצבאות במוסד לביטוח לאומי לפי יישוב, מועצה אזורית, מחוז ונפה לפי שנים. כמו כן, מובאים נתונים על סכום קצבה ממוצע בכל יישוב, מועצה אזורית, מחוז או נפה לפי סוג הקצבה.הנתונים המוצגים נוגעים לגודל האוכלוסייה בכל יישוב ולהתפלגותה לפי גיל: צעירים עד גיל 18, גילאי עבודה וקשישים. מידע זה יאפשר מדידת "יחס התלות הכלכלית" בכל יישוב והשוואה בין יישובים. למדד זה חשיבות רבה במדידת חוסנו הכלכלי של היישוב.
29|0|2015-2013|dataset|2020-07-08|תקציב וביצוע 2015-2013 כולל יתרת התחיבויות|mof|No|NA|1|2|--|mluria@mof.gov.il|משרד האוצר|||עדכון נתוני תקציב המדינה וביצועו לשנים 2015-2013
30|0|2017|dataset|2020-06-08|דוח מסכם 2017 - דיווחי ביצוע על החלטות ממשלה|pmo|No|NA|1|12|--|urid@pmo.gov.il|משרד ראש הממשלה |||מעקב אחר ביצוע החלטות הממשלה ה-34 שיועדו להתבצע בין השנים 2015-2017.
31|1|2017-2018|dataset|2020-07-08|הצעת תקציב לשנים 2017-2018|mof|No|NA|1|4|--|mluria7@gmail.com|משרד האוצר|||הצעת תקציב לשנים 2017-2018
32|0|2018|dataset|2022-02-07|מקוואות טהרה 2018|religion-office|No|NA|1|3|--|michal@dat.gov.il|המשרד לשירותי דת|other-open|Other (Open)|מקוואות טהרה בישראל, כתובות, פרטי קשר ושעות פעילות
33|0|2018-2017|dataset|2020-07-08|תקציב מקורי 2018-2017|mof|No|NA|1|2|--|mluria@mof.gov.il|משרד האוצר|||תקציב מקורי לשנים 2018-2017 ברמת תקנה
34|0|2019infrastructure|dataset|2020-07-08|תשתית לצמיחה 2019 - התכנית הרב שנתית לפיתוח תשתיות|pmo|No|NA|1|7|--|urid@pmo.gov.il|משרד ראש הממשלה |cc-by|Creative Commons Attribution|בקובץ זה מופיעים כלל הפרויקטים של משרדי הממשלה, מלבד משרד החינוך ומשרד העבודה, הרווחה והשירותים החברתיים.
35|0|2020|dataset|2020-08-13|תשתית לצמיחה 2020 - התכנית הרב שנתית לפיתוח תשתיות|pmo|No|NA|1|7|--|tomers@cio.gov.il|משרד ראש הממשלה |other-open|Other (Open)|בקובץ זה מופיעים כלל פרויקטי התשתיות בישראל שעלות הקמתם 100 מלש"ח או יותר, שהחלו הקמה או צפויים להתחיל הקמה בחמש השנים הקרובות, ושעברו בחינת כדאיות כלכלית ואישור תקציבי או שקיימת לגביהם החלטת ממשלה (הקובץ אינו כולל את הפרויקטים של משרד החינוך אשר מופיעים בתכנית שפורסמה באתר משרד ראש הממשלה).
36|0|2021|dataset|2022-09-08|היחידה לחופש המידע - דוח שנתי 2021|ministry_of_justice|No|NotConstant|2|0|--|yehudakat@justice.gov.il|משרד המשפטים|other-open|אחר (פתוח)|נתונים גולמיים של דו"ח חופש המידע 2021 – נתונים בחתך של משרדי ממשלה ויחידות הסמך אודות זמני המענה לבקשות חופש מידע, עילות דחיה של בקשות, התפלגות תוצאת הטיפול וסכומי אגרות, כפי שהתקבלו בדיווחי הממונים על העמדת מידע לציבור לשנת 2021.
37|0|2030|dataset|2020-11-02|צפיפות מקומות עבודה לשנת 2030|ministry_of_transport|No|NA|4|5|--|pinusi@mot.gov.il|משרד התחבורה והבטיחות בדרכים|cc-by|Creative Commons Attribution|צפיפות מקומות עבודה לשנת 2030 - ארצי
38|0|206|dataset|2022-04-03|מדד חוף נקי|ministry_of_the_environment|No|Year|1|3|--|pniot@sviva.gov.il|המשרד להגנת הסביבה|||מדד חוף נקי הוא כלי המשמש להערכה אחידה ואובייקטיבית של מידת ניקיון חופי הארץ הלא מוכרזים, בים התיכון ובמפרץ אילת.המדד מספק מידע שקוף ועדכני על מצב הניקיון בחופים אלו ומסייע לפעילות האכיפה של המשרד להגנת הסביבה, מול רשויות שלא מבצעות את חובתן בשמירה על ניקיון חופיהן.
39|0|209|dataset|2020-07-26|עמותות וארגונים למען בעלי חיים|ministry_of_the_environment|No|NotConstant|1|5|המשרד להגנת הסביבה|pniot@sviva.gov.il|המשרד להגנת הסביבה|||רשימת עמותות וארגונים למען בעלי חיים בישראל, לינק למאגר באתר המשרד: https://www.gov.il/he/departments/guides/animal_ngo_and_organizations
40|0|21|dataset|2020-07-08|מרכזי חונכות ללימודי מדעים|science-and-technology|No|NA|1|1|--|netanelm@most.gov.il|משרד החדשנות, המדע והטכנולוגיה|||"במסגרת פרויקט ""חונכות ללימודי מדעים"" בשותפות פר""ח, מלווים סטודנטים וסטודנטיות מתחומי ההנדסה, הטכנולוגיה והמדעים המדויקים תלמידים ותלמידות התיכון ומעבירים להם שיעורי עזר במקצועות הריאליים, המדעים והאנגלית. ברשימה מרכזי פר""ח ופרטים ליצירת קשר"
41|0|257|dataset|2020-07-08|פרסום מידע תעופתי פנים ארצי|ministry_of_transport|No|NA|1|6|משרד התחבורה -רשות התעופה האזרחית|Rapha@mot.gov.il|משרד התחבורה והבטיחות בדרכים|||פרסום מידע תעופתי פנים ארצי (פמ''ת) כולל מידע, כללים והוראות לביצוע טיסות אזרחיות במרחב האוירי של מדינת ישראל וכן מידע אודות שרותי התעבורה האוירית האזרחית (פקוח טיסה, בקרה מרחבית, מודיעין טיס וכו').
42|0|258|dataset|2020-07-08|מאגר דוחות חקירה בטיחותיים|ministry_of_transport|No|NA|1|5|משרד התחבורה משרד החוקר הראשי|webmaster@mot.gov.il|משרד התחבורה והבטיחות בדרכים|cc-by|Creative Commons Attribution|מאגר דוחות חקירה בטיחותיים בתחום התעופה האזרחית.
43|0|276|dataset|2020-07-08|חנויות ומסעדות בנתב"ג|airport_authority|No|NA|1|2|רשות שדות התעופה|yerael@tehila.gov.il|רשות שדות התעופה|||
44|0|278|dataset|2020-07-08|כתובות של שדות תעופה ומעברי גבול|airport_authority|No|NA|1|5|רשות שדות התעופה|yerael@tehila.gov.il|רשות שדות התעופה|||מאגר כתובות של שדות תעופה ומעברי גבול.
45|0|280|dataset|2020-07-08|סטטיסטיקה מעברי גבול|airport_authority|No|NA|1|3|רשות שדות התעופה|yerael@tehila.gov.il|רשות שדות התעופה|||מאגר זה מכיל סטטיסטיקה מעברי גבול.
46|0|285|dataset|2020-07-08|רשימת סניפי ביטוח לאומי|social_security|No|NA|1|4|ביטוח לאומי|cochava@nioi.gov.il|המוסד לביטוח לאומי|||מאגר המכיל רשימת סניפי הביטוח לאומי.
47|0|287|dataset|2020-07-08|הסכום הבסיסי לחישוב קיצבאות|social_security|No|NA|1|4|ביטוח לאומי|cochava@nioi.gov.il|המוסד לביטוח לאומי|||מאגר זה מכיל נתונים על הסכום הבסיסי לחישוב קיצבאות.
48|0|288|dataset|2020-07-09|שכר מינימום|social_security|No|NA|1|3|ביטוח לאומי|cochava@nioi.gov.il|המוסד לביטוח לאומי|||שכר מינימום מעודכן:שכר יומי למועסק 5 ימים בשבוע: 214.62 ש"ח (החל ב- 01.04.2015)שכר יומי למועסק 6 ימים בשבוע: 186.00 ש"ח (החל ב- 01.04.2015)שכר לשעה: 25.00 ש"ח (החל ב- 01.04.2015)שכר חודשי: 4,650.00 ש"ח (החל ב- 01.04.2015)
49|0|289|dataset|2020-07-09|שיעור דמי הביטוח כאחוז מההכנסה - שכיר בגיל הביטוח|social_security|No|NA|1|4|ביטוח לאומי|cochava@nioi.gov.il|המוסד לביטוח לאומי|||מאגר זה מכיל נתונים על שיעור דמי הביטוח כאחוז מההכנסה - שכיר בגיל הביטוח.
50|0|29|dataset|2020-07-09|קייטנות מדע קיץ|science-and-technology|No|NA|1|3|--|netanelm@most.gov.il|משרד החדשנות, המדע והטכנולוגיה|cc-by|Creative Commons Attribution|קייטנות מדע קיץ
51|0|290|dataset|2020-07-09|שיעור דמי הביטוח כאחוז מההכנסה - עצמאי בגיל הביטוח|social_security|No|NA|1|4|ביטוח לאומי|cochava@nioi.gov.il|המוסד לביטוח לאומי|||מאגר זה מכיל נתונים על שיעור דמי הביטוח כאחוז מההכנסה - עצמאי בגיל הביטוח.
52|0|291|dataset|2020-07-09|שיעור דמי הביטוח כאחוז מההכנסה - לא עובד שכיר ולא עובד עצמאי בגיל הביטוח|social_security|No|NA|1|3|ביטוח לאומי|cochava@nioi.gov.il|המוסד לביטוח לאומי|||מאגר זה מכיל נתונים על שיעור דמי הביטוח כאחוז מההכנסה - לא עובד שכיר ולא עובד עצמאי בגיל הביטוח.
53|0|292|dataset|2020-10-14|הכנסה מזערית ומרבית לחישוב דמי ביטוח ותקרת הכנסה לשיעור מופחת - עובד שכיר ומעסיק|social_security|No|NA|1|7|ביטוח לאומי|cochava@nioi.gov.il|המוסד לביטוח לאומי|||מאגר זה מכיל נתונים על הכנסה מזערית ומרבית לחישוב דמי ביטוח ותקרת הכנסה לשיעור מופחת - עובד שכיר ומעסיק.
54|0|293|dataset|2020-07-09|הכנסה מזערית ומרבית לחישוב דמי ביטוח ותקרת הכנסה לשיעור מופחת - עובד עצמאי|social_security|No|NA|1|6|ביטוח לאומי|cochava@nioi.gov.il|המוסד לביטוח לאומי|||מאגר זה מכיל נתונים על הכנסה מזערית ומרבית לחישוב דמי ביטוח ותקרת הכנסה לשיעור מופחת - עובד עצמאי.
55|0|294|dataset|2020-07-08|הכנסה מזערית ומרבית לחישוב דמי ביטוח ותקרת הכנסה לשיעור מופחת - לא עובד ולא עצמאי|social_security|No|NA|1|6|ביטוח לאומי|cochava@nioi.gov.il|המוסד לביטוח לאומי|||הכנסה מזערית ומרבית לחישוב דמי ביטוח ותקרת הכנסה לשיעור מופחת - לא עובד ולא עובד.
56|0|30|dataset|2020-07-09|וועדות לאומיות מולמו"פ|science-and-technology|No|NA|1|1|--|rachelr@most.gov.il|משרד החדשנות, המדע והטכנולוגיה|||רשימת וועדות לאומיות מולמו"פ
57|0|30-2021|dataset|2021-08-16|אומדן ביצוע ליום 30 ביוני2021 - לא מבוקר|mof|No|NA|1|4|--|pniyot.misradim@mof.gov.il|משרד האוצר|other-open|Other (Open)|דוח זה הופק מתוך המערכות התפעוליות, מהווה תמונת מצב חלקית בלבד ואין להסיק ממנו מסקנות לעניין הביצוע התקציבי בתוכנית זו או אחרת לגבי שנת 2021
58|0|30-9-2021|dataset|2021-12-07|אומדן ביצוע ליום 30 בספטמבר 2021 - לא מבוקר|mof|No|NA|1|0|--|pniyot.misradim@mof.gov.il|משרד האוצר|other-open|Other (Open)|דוח זה כולל מידע שנרשם במערכת התפעולית ע"י יחידות הממשלה המדווחות לנקודת חתך של ה-30/9/2021.הנתונים המוצגים בתוכניות התקציביות השונות בדוח אינם מייצגים תמונה תקציבית מלאה של פעילות היחידות עבור תקופת הדיווח.נתוני הביצוע כוללים גם ביצוע מתוך מסגרות הקורונה.
59|0|31-2021|dataset|2021-05-13|אומדן ביצוע ליום 31 למרץ 2021 - לא מבוקר|mof|No|NA|1|4|--|pniyot.misradim@mof.gov.il|משרד האוצר|other-open|Other (Open)|דוח זה הופק מתוך המערכות התפעוליות ומהווה תמונת מצב חלקית בלבד ואין להסיק ממנו מסקנות לעניין הביצוע התקציבי בתכנית זו או אחרת לגבי שנת 2021.
60|0|31-2022|dataset|2022-05-16|אומדן תקציב וביצוע ליום 31 במרץ 2022 - לא מבוקר|mof|No|NA|1|2|--|pniyot.misradim@mof.gov.il|משרד האוצר|other-open|Other (Open)|דוח זה כולל מידע שנרשם במערכת התפעולית על ידי יחידות הממשלה המדווחות לנקודת חתך של ה-31/3/2022. הנתונים המוצגים בתכניות התקציביות השונות בדוח אינם מייצגים תמונה תקציבית מלאה של פעילות היחידות עבור תקופת הדיווח. נתוני הביצוע כוללים גם ביצוע מתוך מסגרות הקורונה.
61|0|321|dataset|2022-09-04|רשימת רחובות ישראל|population_authority|No|Week|23|2|--|LiorSh@piba.gov.il|רשות האוכלוסין וההגירה|||רשות האוכלוסין וההגירה מפרסמת מידי תקופה רשימת רחובות לשימוש חופשי של הציבור.
62|0|334|dataset|2020-07-09|רשימת חברות|isa|No|NA|1|4|רשות ניירות הערך|YaelT@isa.gov.il|רשות ניירות ערך|||רשימת חברות
63|0|335|dataset|2020-07-09|Public Companies|isa|No|NA|1|1|רשות ניירות הערך|YaelT@isa.gov.il|רשות ניירות ערך|||Public Companies
64|0|343|dataset|2020-07-09|רשימת מוסדות ציבור וארגונים מקבלי סיוע מעזבונות לטובת המדינה|ministry_of_immigrant_absorption|No|NA|3|5|המשרד לקליטת עליה|zvie@moia.gov.il|משרד העלייה והקליטה|||
65|0|345|dataset|2022-09-08|רופאים וטרינרים בישראל|ministry_of_agriculture|No|Day|1|7|--|sofiam@moag.gov.il|משרד החקלאות ופיתוח הכפר|||רשימת רופאים וטרינריים הפועלים בישראל
66|0|348|dataset|2020-06-11|שערי חליפין יציגים ל- 24 מטבעות, כולל סל המטבעות (נתונים יומיים) 1977 - 1981|bank_israel|No|NA|1|1||yehudit.golan@boi.org.il|בנק ישראל|||מאגר זה מכיל שערי חליפין יציגים ל- 24 מטבעות, כולל סל המטבעות (נתונים יומיים) 1977 - 1981.
67|0|350|dataset|2020-06-11|שערי חליפין יציגים ל- 24 מטבעות, כולל סל המטבעות (נתונים יומיים) 1982 - 1986|bank_israel|No|NA|1|1|בנק ישראל|yehudit.golan@boi.org.il|בנק ישראל|||מאגר זה מכיל מאגר שערי חליפין יציגים ל- 24 מטבעות, כולל סל המטבעות (נתונים יומיים) 1982 - 1986.
68|0|351|dataset|2020-06-11|שערי חליפין יציגים ל- 24 מטבעות, כולל סל המטבעות (נתונים יומיים) 1987 - 1991|bank_israel|No|NA|1|1||yehudit.golan@boi.org.il|בנק ישראל|||מאגר זה מכיל שערי חליפין יציגים ל- 24 מטבעות, כולל סל המטבעות (נתונים יומיים) 1987 - 1991.
69|0|352|dataset|2020-06-11|שערי חליפין יציגים ל- 24 מטבעות, כולל סל המטבעות (נתונים יומיים) 1992 - 1996|bank_israel|No|NA|1|1|בנק ישראל|yehudit.golan@boi.org.il|בנק ישראל|||מאגר זה מכיל שערי חליפין יציגים ל- 24 מטבעות, כולל סל המטבעות (נתונים יומיים) 1992 - 1996.
70|0|353|dataset|2020-06-11|שערי חליפין יציגים ל- 24 מטבעות, כולל סל המטבעות (נתונים יומיים) 1997 - 2000|bank_israel|No|NA|1|1||yehudit.golan@boi.org.il|בנק ישראל|||מאגר זה מכיל שערי חליפין יציגים ל- 24 מטבעות, כולל סל המטבעות (נתונים יומיים) 1997 - 2000.
71|0|354new|dataset|2020-06-11|שערי חליפין יציגים ל- 24 מטבעות, כולל סל המטבעות (נתונים יומיים) 2001 - 2006|bank_israel|No|NA|1|1||yehudit.golan@boi.org.il|בנק ישראל|||מאגר זה מכיל שערי חליפין יציגים ל- 24 מטבעות, כולל סל המטבעות (נתונים יומיים) 2001 - 2006.
72|0|355new|dataset|2020-06-11|שערי חליפין יציגים ל- 24 מטבעות, כולל סל המטבעות (נתונים יומיים) 2007 - 2012|bank_israel|No|NA|1|1|בנק ישראל|yehudit.golan@boi.org.il|בנק ישראל|||מאגר זה מכיל שערי חליפין יציגים ל- 24 מטבעות, כולל סל המטבעות (נתונים יומיים) 2007 - 2012.
73|0|356|dataset|2020-06-11|שערים ממוצעים לכל המטבעות היציגים - 2012|bank_israel|No|NA|1|6|בנק ישראל|yehudit.golan@boi.org.il|בנק ישראל|||מאגר זה מכיל רשימת שערים ממוצעים לכל המטבעות היציגים - 2012.
74|0|357|dataset|2020-06-11|שערים ממוצעים לכל המטבעות היציגים - 2011 פרטי המאגר|bank_israel|No|NA|1|5|בנק ישראל|yehudit.golan@boi.org.il|בנק ישראל|||מאגר זה מכיל רשימת שערים ממוצעים לכל המטבעות היציגים - 2011 פרטי המאגר.
75|0|358|dataset|2020-06-11|שערים ממוצעים לכל המטבעות היציגים - 2010|bank_israel|No|NA|1|1|בנק ישראל|yehudit.golan@boi.org.il|בנק ישראל|||מאגר זה מכיל שערים ממוצעים לכל המטבעות היציגים - 2010.
76|0|360|dataset|2020-06-11|שערים ממוצעים לכל המטבעות היציגים - 2008|bank_israel|No|NA|1|1|בנק ישראל, שערי מטבע, מטבע יציג, 2008|yehudit.golan@boi.org.il|בנק ישראל|||שערים ממוצעים לכל המטבעות היציגים - 2008.
77|0|361|dataset|2020-06-11|שערים ממוצעים לכל המטבעות היציגים - 2007|bank_israel|No|NA|1|5|בנק ישראל|yehudit.golan@boi.org.il|בנק ישראל|||שערים ממוצעים לכל המטבעות היציגים - 2007.
78|0|362|dataset|2022-08-08|שערים ממוצעים לכל המטבעות היציגים - 2006|bank_israel|No|NoUpdate|1|7|--|yehudit.golan@boi.org.il|בנק ישראל|other-open|Other (Open)|שערים ממוצעים לכל המטבעות היציגים - 2006
79|0|363|dataset|2020-06-11|שערים ממוצעים לכל המטבעות היציגים - 2005|bank_israel|No|NA|1|6|בנק ישראל|yehudit.golan@boi.org.il|בנק ישראל|||שערים ממוצעים לכל המטבעות היציגים - 2005
80|0|364|dataset|2020-06-11|שערים ממוצעים לכל המטבעות היציגים - 2004|bank_israel|No|NA|1|5|בנק ישראל|yehudit.golan@boi.org.il|בנק ישראל|||שערים ממוצעים לכל המטבעות היציגים - 2004.
81|0|365|dataset|2020-06-11|שערים ממוצעים לכל המטבעות היציגים - 2003|bank_israel|No|NA|1|5|בנק ישראל|yehudit.golan@boi.org.il|בנק ישראל|||שערים ממוצעים לכל המטבעות היציגים - 2003
82|0|366|dataset|2020-06-11|שערים ממוצעים לכל המטבעות היציגים - 2002|bank_israel|No|NA|1|6|בנק ישראל|yehudit.golan@boi.org.il|בנק ישראל|||שערים ממוצעים לכל המטבעות היציגים - 2002
83|0|367|dataset|2020-06-11|שערים ממוצעים לכל המטבעות היציגים - 2001|bank_israel|No|NA|1|6|בנק ישראל|yehudit.golan@boi.org.il|בנק ישראל|||שערים ממוצעים לכל המטבעות היציגים - 2001
84|0|371|dataset|2020-06-11|הריבית הממוצעת על משכנתאות צמודות למדד ומחשבון לחישוב עמלת פירעון מוקדם|bank_israel|No|NA|1|6|בנק ישראל|yehudit.golan@boi.org.il|בנק ישראל|||הריבית הממוצעת על משכנתאות צמודות למדד ומחשבון לחישוב עמלת פירעון מוקדם.
85|0|374|dataset|2020-06-11|הריבית הקבועה הממוצעת על משכנתאות במיגזר השיקלי הלא-צמוד|bank_israel|No|NA|1|6|בנק ישראל|yehudit.golan@boi.org.il|בנק ישראל|||הריבית הקבועה הממוצעת על משכנתאות במיגזר השיקלי הלא-צמוד.
