n|name|type|date|title|org|geo|freq|resources|tags|author|email|orgh|licID|lictitle|notes
41|2023-puf|dataset|2024-09-09|תאונות דרכים עם נפגעים - 2023 - PUF מקוצר|lamas|No|Year|6|1|--|info@cbs.gov.il|הלשכה המרכזית לסטטיסטיקה|other-open|אחר (פתוח)|תאונות דרכים עם נפגעים 2023 מסוג ת"ד מורחב - קובץ מקוצר
42|2024_2025|dataset|2024-08-21|מועדי מרכזי שירות של הרשות לזכויות ניצולי השואה לחודשים ספטמבר 2024 עד מרץ 2025|holocaust_survivors_rights|No|NotConstant|1|2|--|noama@hsa.gov.il|הרשות לזכויות ניצולי השואה|other-open|אחר (פתוח)|במאגר המידע הזה יופיעו מוקדי ומועדי קבלת הקהל של הרשות לזכויות ניצולי השואה בערים שונות ברחבי הארץ מתל חי שבצפון ועד אילת שבדרום.
43|2030|dataset|2024-08-01|צפיפות מקומות עבודה לשנת 2030|ministry_of_transport|No|NotConstant|4|5|--|pinusi@mot.gov.il|משרד התחבורה והבטיחות בדרכים|other-open|אחר (פתוח)|צפיפות מקומות עבודה לשנת 2030 - ארצי
44|206|dataset|2023-03-21|מדד חוף נקי|ministry_of_the_environment|No|Year|1|3|--|pniot@sviva.gov.il|המשרד להגנת הסביבה|||מדד חוף נקי הוא כלי המשמש להערכה אחידה ואובייקטיבית של מידת ניקיון חופי הארץ הלא מוכרזים, בים התיכון ובמפרץ אילת.המדד מספק מידע שקוף ועדכני על מצב הניקיון בחופים אלו ומסייע לפעילות האכיפה של המשרד להגנת הסביבה, מול רשויות שלא מבצעות את חובתן בשמירה על ניקיון חופיהן.
45|209|dataset|2023-03-21|עמותות וארגונים למען בעלי חיים|ministry_of_the_environment|No|NotConstant|1|5|המשרד להגנת הסביבה|pniot@sviva.gov.il|המשרד להגנת הסביבה|||רשימת עמותות וארגונים למען בעלי חיים בישראל, לינק למאגר באתר המשרד: https://www.gov.il/he/departments/guides/animal_ngo_and_organizations
46|21|dataset|2023-03-21|מרכזי חונכות ללימודי מדעים|science-and-technology|No|NA|1|1|--|netanelm@most.gov.il|משרד החדשנות, המדע והטכנולוגיה|||"במסגרת פרויקט ""חונכות ללימודי מדעים"" בשותפות פר""ח, מלווים סטודנטים וסטודנטיות מתחומי ההנדסה, הטכנולוגיה והמדעים המדויקים תלמידים ותלמידות התיכון ומעבירים להם שיעורי עזר במקצועות הריאליים, המדעים והאנגלית. ברשימה מרכזי פר""ח ופרטים ליצירת קשר"
47|257|dataset|2023-03-21|פרסום מידע תעופתי פנים ארצי|ministry_of_transport|No|NA|1|6|משרד התחבורה -רשות התעופה האזרחית|Rapha@mot.gov.il|משרד התחבורה והבטיחות בדרכים|||פרסום מידע תעופתי פנים ארצי (פמ''ת) כולל מידע, כללים והוראות לביצוע טיסות אזרחיות במרחב האוירי של מדינת ישראל וכן מידע אודות שרותי התעבורה האוירית האזרחית (פקוח טיסה, בקרה מרחבית, מודיעין טיס וכו').
48|258|dataset|2023-03-21|מאגר דוחות חקירה בטיחותיים|ministry_of_transport|No|NA|1|5|משרד התחבורה משרד החוקר הראשי|webmaster@mot.gov.il|משרד התחבורה והבטיחות בדרכים|cc-by|Creative Commons Attribution|מאגר דוחות חקירה בטיחותיים בתחום התעופה האזרחית.
49|276|dataset|2023-03-21|חנויות ומסעדות בנתב"ג|airport_authority|No|NA|1|2|רשות שדות התעופה|yerael@tehila.gov.il|רשות שדות התעופה|||
50|278|dataset|2023-03-21|כתובות של שדות תעופה ומעברי גבול|airport_authority|No|NA|1|5|רשות שדות התעופה|yerael@tehila.gov.il|רשות שדות התעופה|||מאגר כתובות של שדות תעופה ומעברי גבול.
51|280|dataset|2023-03-21|סטטיסטיקה מעברי גבול|airport_authority|No|NA|1|3|רשות שדות התעופה|yerael@tehila.gov.il|רשות שדות התעופה|||מאגר זה מכיל סטטיסטיקה מעברי גבול.
52|285|dataset|2023-03-21|רשימת סניפי ביטוח לאומי|social_security|No|NA|1|4|ביטוח לאומי|cochava@nioi.gov.il|המוסד לביטוח לאומי|||מאגר המכיל רשימת סניפי הביטוח לאומי.
53|287|dataset|2023-03-21|הסכום הבסיסי לחישוב קיצבאות|social_security|No|NA|1|4|ביטוח לאומי|cochava@nioi.gov.il|המוסד לביטוח לאומי|||מאגר זה מכיל נתונים על הסכום הבסיסי לחישוב קיצבאות.
54|288|dataset|2023-03-21|שכר מינימום|social_security|No|NA|1|3|ביטוח לאומי|cochava@nioi.gov.il|המוסד לביטוח לאומי|||שכר מינימום מעודכן:שכר יומי למועסק 5 ימים בשבוע: 214.62 ש"ח (החל ב- 01.04.2015)שכר יומי למועסק 6 ימים בשבוע: 186.00 ש"ח (החל ב- 01.04.2015)שכר לשעה: 25.00 ש"ח (החל ב- 01.04.2015)שכר חודשי: 4,650.00 ש"ח (החל ב- 01.04.2015)
55|289|dataset|2023-03-21|שיעור דמי הביטוח כאחוז מההכנסה - שכיר בגיל הביטוח|social_security|No|NA|1|4|ביטוח לאומי|cochava@nioi.gov.il|המוסד לביטוח לאומי|||מאגר זה מכיל נתונים על שיעור דמי הביטוח כאחוז מההכנסה - שכיר בגיל הביטוח.
56|29|dataset|2023-03-21|קייטנות מדע קיץ|science-and-technology|No|NA|1|3|--|netanelm@most.gov.il|משרד החדשנות, המדע והטכנולוגיה|cc-by|Creative Commons Attribution|קייטנות מדע קיץ
57|290|dataset|2023-03-21|שיעור דמי הביטוח כאחוז מההכנסה - עצמאי בגיל הביטוח|social_security|No|NA|1|4|ביטוח לאומי|cochava@nioi.gov.il|המוסד לביטוח לאומי|||מאגר זה מכיל נתונים על שיעור דמי הביטוח כאחוז מההכנסה - עצמאי בגיל הביטוח.
58|291|dataset|2023-03-21|שיעור דמי הביטוח כאחוז מההכנסה - לא עובד שכיר ולא עובד עצמאי בגיל הביטוח|social_security|No|NA|1|3|ביטוח לאומי|cochava@nioi.gov.il|המוסד לביטוח לאומי|||מאגר זה מכיל נתונים על שיעור דמי הביטוח כאחוז מההכנסה - לא עובד שכיר ולא עובד עצמאי בגיל הביטוח.
59|292|dataset|2023-06-18|הכנסה מזערית ומרבית לחישוב דמי ביטוח ותקרת הכנסה לשיעור מופחת - עובד שכיר ומעסיק|social_security|No|NoUpdate|1|7|--|cochava@nioi.gov.il|המוסד לביטוח לאומי|other-open|Other (Open)|מאגר זה מכיל נתונים על הכנסה מזערית ומרבית לחישוב דמי ביטוח ותקרת הכנסה לשיעור מופחת - עובד שכיר ומעסיק.
60|293|dataset|2023-03-21|הכנסה מזערית ומרבית לחישוב דמי ביטוח ותקרת הכנסה לשיעור מופחת - עובד עצמאי|social_security|No|NA|1|6|ביטוח לאומי|cochava@nioi.gov.il|המוסד לביטוח לאומי|||מאגר זה מכיל נתונים על הכנסה מזערית ומרבית לחישוב דמי ביטוח ותקרת הכנסה לשיעור מופחת - עובד עצמאי.
61|294|dataset|2023-03-21|הכנסה מזערית ומרבית לחישוב דמי ביטוח ותקרת הכנסה לשיעור מופחת - לא עובד ולא עצמאי|social_security|No|NA|1|6|ביטוח לאומי|cochava@nioi.gov.il|המוסד לביטוח לאומי|||הכנסה מזערית ומרבית לחישוב דמי ביטוח ותקרת הכנסה לשיעור מופחת - לא עובד ולא עובד.
62|30|dataset|2023-03-21|וועדות לאומיות מולמו"פ|science-and-technology|No|NA|1|1|--|rachelr@most.gov.il|משרד החדשנות, המדע והטכנולוגיה|||רשימת וועדות לאומיות מולמו"פ
63|30-2021|dataset|2023-03-21|אומדן ביצוע ליום 30 ביוני2021 - לא מבוקר|mof|No|NA|1|4|--|pniyot.misradim@mof.gov.il|משרד האוצר|other-open|Other (Open)|דוח זה הופק מתוך המערכות התפעוליות, מהווה תמונת מצב חלקית בלבד ואין להסיק ממנו מסקנות לעניין הביצוע התקציבי בתוכנית זו או אחרת לגבי שנת 2021
64|30-6-2022|dataset|2023-03-21|אומדן תקציב וביצוע ליום 30-6-2022 לא מבוקר|mof|No|- select -|1|2|--|pniyot.misradim@mof.gov.il|משרד האוצר|other-open|Other (Open)|דוח זה כולל מידע שנרשם במערכת התפעולית על ידי יחידות הממשלה המדווחות לנקודת חתך של ה-30.6.2022. הנתונים המוצגים בתכניות התקציביות השונות בדוח אינם מייצגים תמונה תקציבית מלאה של פעילות היחידות עבור תקופת הדיווח. נתוני הביצוע כוללים גם ביצוע מתוך מסגרות הקורונה.
65|30-6-2023|dataset|2024-01-01|אומדן ביצוע ליום 30-6-2023 לא מבוקר|mof|No|NoUpdate|1|2|--|pniyot.misradim@mof.gov.il|משרד האוצר|other-open|Other (Open)|דוח זה כולל מידע שנרשם במערכת התפעולית על ידי יחידות הממשלה המדווחות לנקודת חתך של ה-30.6.2023. נתונים המוצגים בתכניות התקציביות השונות בדוח אינם מייצגים תמונה תקציבית מלאה של פעילות היחידות עבור תקופת הדיווח. נתוני הביצוע כוללים גם ביצוע מתוך מסגרות הקורונה.
66|30-6-2024|dataset|2024-09-16|אומדן ביצוע ליום 30-6-2024 לא מבוקר|mof|No|NoUpdate|1|2|--|pniyot.misradim@mof.gov.il|משרד האוצר|other-open|אחר (פתוח)|דוח זה כולל מידע שנרשם במערכת התפעולית על ידי יחידות הממשלה המדווחות לנקודת חתך של ה-30.6.2024.
67|30-9-2021|dataset|2023-03-21|אומדן ביצוע ליום 30 בספטמבר 2021 - לא מבוקר|mof|No|NA|1|0|--|pniyot.misradim@mof.gov.il|משרד האוצר|other-open|Other (Open)|דוח זה כולל מידע שנרשם במערכת התפעולית ע"י יחידות הממשלה המדווחות לנקודת חתך של ה-30/9/2021.הנתונים המוצגים בתוכניות התקציביות השונות בדוח אינם מייצגים תמונה תקציבית מלאה של פעילות היחידות עבור תקופת הדיווח.נתוני הביצוע כוללים גם ביצוע מתוך מסגרות הקורונה.
68|30-9-2022|dataset|2023-03-21|אומדן תקציב וביצוע ליום 30-9-2022 לא מבוקר|mof|No|- select -|2|2|--|pniyot.misradim@mof.gov.il|משרד האוצר|other-open|Other (Open)|דוח זה כולל מידע שנרשם במערכת התפעולית על ידי יחידות הממשלה המדווחות לנקודת חתך של ה-30.9.2022. הנתונים המוצגים בתכניות התקציביות השונות בדוח אינם מייצגים תמונה תקציבית מלאה של פעילות היחידות עבור תקופת הדיווח. נתוני הביצוע כוללים גם ביצוע מתוך מסגרות הקורונה.
69|30-9-2023|dataset|2024-01-01|אומדן ביצוע ליום 30-9-2023 לא מבוקר|mof|No|NoUpdate|1|2|--|pniyot.misradim@mof.gov.il|משרד האוצר|other-open|Other (Open)|דוח זה כולל מידע שנרשם במערכת התפעולית על ידי יחידות הממשלה המדווחות לנקודת חתך של ה-30.9.2023.נתונים המוצגים בתכניות התקציביות השונות בדוח אינם מייצגים תמונה תקציבית מלאה של פעילות היחידות עבור תקופת הדיווח. נתוני הביצוע כוללים גם ביצוע מתוך מסגרות הקורונה.
70|31-2021|dataset|2023-03-21|אומדן ביצוע ליום 31 למרץ 2021 - לא מבוקר|mof|No|NA|1|4|--|pniyot.misradim@mof.gov.il|משרד האוצר|other-open|Other (Open)|דוח זה הופק מתוך המערכות התפעוליות ומהווה תמונת מצב חלקית בלבד ואין להסיק ממנו מסקנות לעניין הביצוע התקציבי בתכנית זו או אחרת לגבי שנת 2021.
71|31-2022|dataset|2023-03-21|אומדן תקציב וביצוע ליום 31 במרץ 2022 - לא מבוקר|mof|No|NA|1|2|--|pniyot.misradim@mof.gov.il|משרד האוצר|other-open|Other (Open)|דוח זה כולל מידע שנרשם במערכת התפעולית על ידי יחידות הממשלה המדווחות לנקודת חתך של ה-31/3/2022. הנתונים המוצגים בתכניות התקציביות השונות בדוח אינם מייצגים תמונה תקציבית מלאה של פעילות היחידות עבור תקופת הדיווח. נתוני הביצוע כוללים גם ביצוע מתוך מסגרות הקורונה.
72|31-3-2023|dataset|2023-06-11|אומדן ביצוע ליום 31-3-2023 לא מבוקר|mof|No|NoUpdate|1|2|--|pniyot.misradim@mof.gov.il|משרד האוצר|other-open|Other (Open)|דוח זה כולל מידע שנרשם במערכת התפעולית על ידי יחידות הממשלה המדווחות לנקודת חתך של ה-31.3.2023. נתונים המוצגים בתכניות התקציביות השונות בדוח אינם מייצגים תמונה תקציבית מלאה של פעילות היחידות עבור תקופת הדיווח. נתוני הביצוע כוללים גם ביצוע מתוך מסגרות הקורונה.
73|31-3-2024|dataset|2024-07-24|אומדן ביצוע ליום 31-3-2024 לא מבוקר|mof|No|NoUpdate|1|2|--|pniyot.misradim@mof.gov.il|משרד האוצר|other-open|אחר (פתוח)|דוח זה כולל מידע שנרשם במערכת התפעולית על ידי יחידות הממשלה המדווחות לנקודת חתך של ה-31.3.2024.
74|321|dataset|2024-09-29|רשימת רחובות ישראל|population_authority|No|Week|23|2|--|LiorSh@piba.gov.il|רשות האוכלוסין וההגירה|||רשות האוכלוסין וההגירה מפרסמת מידי תקופה רשימת רחובות לשימוש חופשי של הציבור.
75|334|dataset|2023-03-21|רשימת חברות|isa|No|NA|1|4|רשות ניירות הערך|YaelT@isa.gov.il|רשות ניירות ערך|||רשימת חברות
76|335|dataset|2023-03-21|Public Companies|isa|No|NA|1|1|רשות ניירות הערך|YaelT@isa.gov.il|רשות ניירות ערך|||Public Companies
77|343|dataset|2023-03-21|רשימת מוסדות ציבור וארגונים מקבלי סיוע מעזבונות לטובת המדינה|ministry_of_immigrant_absorption|No|NA|3|5|המשרד לקליטת עליה|zvie@moia.gov.il|משרד העלייה והקליטה|||
78|345|dataset|2024-10-04|רופאים וטרינרים בישראל|ministry_of_agriculture|No|Day|1|7|--|sofiam@moag.gov.il|משרד החקלאות ובטחון המזון|||רשימת רופאים וטרינריים הפועלים בישראל
