start: 2022-09-09 09:25:46
n - Package - success  - n1 - n2
75 - 358 - True - 1 - 1
76 - 360 - True - 1 - 1
77 - 361 - True - 1 - 1
78 - 362 - True - 1 - 1
79 - 363 - True - 1 - 1
80 - 364 - True - 1 - 1
81 - 365 - True - 1 - 1
82 - 366 - True - 1 - 1
83 - 367 - True - 1 - 1
84 - 371 - True - 1 - 1
85 - 374 - True - 1 - 1
86 - 375 - True - 1 - 1
87 - 377 - True - 1 - 1
88 - 379 - True - 1 - 1
89 - 381 - True - 1 - 1
90 - 408 - True - 1 - 1
91 - 425 - True - 1 - 1
92 - 46 - True - 2 - 2
93 - 48 - True - 1 - 1
94 - 481 - True - 1 - 1
95 - 486 - True - 1 - 1
96 - 49 - True - 1 - 1
97 - 50 - True - 2 - 2
98 - 500 - True - 6 - 6
99 - 502 - True - 2 - 2
100 - 502-2 - True - 134 - 10
101 - 503 - True - 1 - 1
102 - 504 - True - 1 - 1
103 - 506-1 - True - 133 - 10
104 - 506-2 - True - 134 - 10
105 - 507 - True - 1 - 1
106 - 508 - True - 1 - 1
107 - 51 - True - 1 - 1
108 - 510 - True - 2 - 2
109 - 517 - True - 1 - 1
110 - 518 - True - 1 - 1
111 - 519 - True - 2 - 2
112 - 52 - True - 2 - 2
113 - 520 - True - 1 - 1
114 - 521 - True - 1 - 1
115 - 53 - True - 1 - 1
116 - 531 - True - 1 - 1
117 - 532 - True - 1 - 1
118 - 534 - True - 1 - 1
119 - 535 - True - 1 - 1
120 - 536 - True - 1 - 1
121 - 537 - True - 2 - 2
122 - 538 - True - 2 - 2
123 - 538-1 - True - 133 - 10
124 - 539 - True - 1 - 1
125 - 54 - True - 4 - 4
126 - 541 - True - 1 - 1
127 - 542 - True - 1 - 1
128 - 543 - True - 1 - 1
129 - 544 - True - 1 - 1
130 - 545 - True - 1 - 1
131 - 547 - True - 1 - 1
132 - 548 - True - 1 - 1
133 - 549 - True - 1 - 1
134 - 551 - True - 1 - 1
135 - 552 - True - 1 - 1
136 - 557 - True - 1 - 1
137 - 558 - True - 1 - 1
138 - 559 - True - 1 - 1
139 - 56 - True - 1 - 1
140 - 564 - True - 1 - 1
141 - 566 - True - 1 - 1
142 - 568 - True - 1 - 1
143 - 591 - True - 1 - 1
144 - 609 - True - 1 - 1
145 - 61 - True - 3 - 3
146 - 62 - True - 4 - 4
147 - 642 - True - 1 - 1
148 - 643 - True - 1 - 1
149 - 650 - True - 2 - 2
150 - 651 - True - 2 - 2
151 - 652 - True - 1 - 1
152 - 653 - True - 1 - 1
153 - 659 - True - 1 - 1
154 - 671 - True - 1 - 1
155 - 673 - True - 1 - 1
156 - 6b1c032a-fdc1-4f92-bee1-14d6bf6af910 - True - 1 - 1
157 - 711 - True - 1 - 1
158 - 808 - True - 1 - 1
159 - 813 - True - 1 - 1
160 - 814 - True - 1 - 1
161 - 826 - True - 1 - 1
162 - 827 - True - 1 - 1
163 - 828 - True - 1 - 1
164 - 829 - True - 1 - 1
165 - 830 - True - 1 - 1
166 - 831 - True - 1 - 1
167 - 832 - True - 1 - 1
168 - 833 - True - 1 - 1
169 - 860 - True - 1 - 1
170 - 861 - True - 1 - 1
171 - 862 - True - 1 - 1
172 - 863 - True - 1 - 1
173 - 864 - True - 1 - 1
174 - 865 - True - 1 - 1
175 - 926 - True - 1 - 1
176 - 927 - True - 1 - 1
177 - 928 - True - 1 - 1
178 - 930 - True - 1 - 1
179 - 931 - True - 1 - 1
180 - 932 - True - 1 - 1
181 - 933 - True - 1 - 1
182 - 934 - True - 1 - 1
183 - 935 - True - 1 - 1
184 - 943 - True - 1 - 1
185 - 944 - True - 1 - 1
186 - 945 - True - 1 - 1
187 - 946 - True - 1 - 1
188 - 947 - True - 1 - 1
189 - 953 - True - 1 - 1
190 - 958 - True - 1 - 1
191 - 961 - True - 1 - 1
192 - 969 - True - 1 - 1
193 - 982 - True - 1 - 1
194 - 983 - True - 1 - 1
195 - 991 - True - 1 - 1
196 - a2016 - True - 74 - 10
197 - academic - True - 1 - 1
198 - accessibilityorders - True - 1 - 1
199 - accidents2018 - True - 60 - 10
200 - accidents_municipal - True - 9 - 9
201 - accid_taz - True - 8 - 8
202 - acquifer - True - 1 - 1
203 - afq - True - 1 - 1
204 - aidtools - True - 1 - 1
205 - aircraft_data_il - True - 245 - 10
206 - airport - True - 5 - 5
207 - air-stations - True - 9 - 9
208 - airstrip - True - 1 - 1
209 - alhakav - True - 1 - 1
210 - aluyot-pituach - True - 1 - 1
211 - ambrosia - True - 1 - 1
212 - amount_monthly_closures_vehicles - True - 42 - 10
213 - antennaactive - True - 1 - 1
214 - antenna_hakama - True - 1 - 1
215 - ap - True - 1 - 1
216 - api-eca - True - 5 - 5
217 - applying-to-social-services-departments - True - 100 - 10
218 - approved-items-by-personal-import - True - 17 - 10
219 - aquifer_level_history - True - 6 - 6
220 - aquifer-sensitivity - True - 3 - 3
221 - ararim - True - 1 - 1
222 - arb - True - 1 - 1
223 - archivesfreedomofinformationforzover - True - 1 - 1
224 - archivespermissiontostreamforzover - True - 1 - 1
225 - archivespermitflowingtoseaforzover-csv - True - 145 - 10
226 - archives-yco - True - 1 - 1
227 - ard - True - 1 - 1
228 - arl - True - 1 - 1
229 - arrivaltostationdayandhours - True - 1 - 1
230 - arrivaltostationhours - True - 1 - 1
231 - asbest - True - 4 - 4
232 - asbest-permit-03-2016 - True - 76 - 10
233 - asbestsamplinganalysis - True - 1 - 1
234 - asbest-waste-sites - True - 8 - 8
235 - asd - True - 1 - 1
236 - asq - True - 1 - 1
237 - assb122019 - True - 12 - 10
238 - assb32018 - True - 11 - 10
239 - assb32019 - True - 11 - 10
240 - assb32020 - True - 11 - 10
241 - assb62017 - True - 11 - 10
242 - assb62018 - True - 11 - 10
243 - assb62020 - True - 11 - 10
244 - assb92017 - True - 11 - 10
245 - assb92018 - True - 11 - 10
246 - assb92019 - True - 11 - 10
247 - assb92020 - True - 11 - 10
248 - assign-a-numbering-range-to-premium-service-numbers - True - 42 - 10
249 - assigning-mobile-numbering-ranges - True - 7 - 7
250 - assigning-national-service-numbering-ranges - True - 33 - 10
251 - atarim-leumim - True - 1 - 1
252 - atirot - True - 1 - 1
253 - atl - True - 1 - 1
254 - audit-cities - True - 4 - 4
255 - autism-schools - True - 7 - 7
256 - automated-devices - True - 1 - 1
257 - average-salary - True - 2 - 2
258 - avian-influenza-events - True - 1 - 1
259 - ayalontrafficcounts - True - 1 - 1
260 - azakamaaleadumim - True - 1 - 1
261 - bakashot_cpc - True - 4 - 4
262 - bakashot_ipc - True - 4 - 4
263 - bakashot_patents - True - 7 - 7
264 - banks - True - 33 - 10
265 - basic_domes - True - 1 - 1
266 - basin - True - 1 - 1
267 - batei-esek - True - 1 - 1
268 - beach - True - 2 - 2
269 - beneficiary_recipients - True - 4 - 4
270 - bgv - True - 1 - 1
271 - bichildrengrowth2016 - True - 63 - 10
272 - bicycle_jer_2019 - True - 55 - 10
273 - bike_mahirlair - True - 5 - 5
274 - bike_net_center - True - 121 - 10
275 - bike_net_tlv - True - 5 - 5
276 - bilateral-communications-agreements - True - 3 - 3
277 - bod - True - 1 - 1
278 - bor - True - 3 - 3
279 - bor_depth - True - 3 - 3
280 - borehole_level - True - 12 - 10
281 - borehole_refpoint - True - 8 - 8
282 - boreholes - True - 8 - 8
283 - borehole_wq_params - True - 8 - 8
284 - bor_perfor - True - 3 - 3
285 - bqt - True - 1 - 1
286 - br7-address - True - 29 - 10
287 - br7-budjet - True - 27 - 10
288 - br7-michrazim - True - 27 - 10
289 - br7-shimur - True - 27 - 10
290 - br7-zoning - True - 28 - 10
291 - branches - True - 1 - 1
292 - britzugiyut - True - 1 - 1
293 - brt_line - True - 7 - 7
294 - bsh - True - 1 - 1
295 - bsm - True - 1 - 1
296 - bsv - True - 1 - 1
297 - budget2020 - True - 73 - 10
298 - budget-changes-2014 - True - 37 - 10
299 - budget-changes-2015 - True - 132 - 10
300 - budget-changes-2016 - True - 68 - 10
301 - buildingsites - True - 1 - 1
302 - bureaus-of-health - True - 473 - 10
303 - bus_fleet - True - 8 - 8
304 - businessreq - True - 1 - 1
305 - bus_rishui_bitzua_2021 - True - 40 - 10
306 - bus_speed - True - 8 - 8
307 - bus_stops - True - 9 - 9
308 - busterminal - True - 1 - 1
309 - bus_terminal_fcl - True - 8 - 8
310 - bus_terminal_strat - True - 11 - 10
311 - calculatorforentrepreneur - True - 1 - 1
312 - callkorekitotvatikim - True - 1 - 1
313 - callkoreyoung - True - 1 - 1
314 - cannabis_certified_physicians - True - 3 - 3
315 - cannabis_licensed_workers - True - 12 - 10
316 - cannabis_pharmacies - True - 4 - 4
317 - carbon-monoxide - True - 1 - 1
318 - car-insurance - True - 2 - 2
319 - cell_subbasin - True - 1 - 1
320 - cemeteries - True - 1 - 1
321 - central-database-of-cbs - True - 441 - 10
322 - certificate-list-of-line-equipment - True - 443 - 10
323 - cf-output - True - 2 - 2
324 - chiller - True - 1 - 1
325 - chiyuvim - True - 1 - 1
326 - chovotpirsum_iriot - True - 6 - 6
327 - chovotpirsum_moatzotezoriyot_kavyark - True - 6 - 6
328 - chovotpirsum_moatzotezoryot - True - 6 - 6
329 - chovotpirsum_moatzotmekomyot - True - 6 - 6
330 - chovotpirsum_moatzotmekomyotkavyarok - True - 6 - 6
331 - chovotpirsum_vaadamekomitletichnunuvnia - True - 6 - 6
332 - citiesandsettelments - True - 1 - 1
333 - cleanasbestos - True - 1 - 1
334 - cleanliness - True - 1 - 1
335 - coast-sensitivity - True - 4 - 4
336 - companiespersonscleansing20200 - True - 1 - 1
337 - cong_tax_rings - True - 2 - 2
338 - construction_equipment - True - 5 - 5
339 - contaminated_land_tlv - True - 8 - 8
340 - contaminatedterrains - True - 1 - 1
341 - continuing_education - True - 25 - 10
342 - coordinates - True - 2 - 2
343 - cord-blood-banks - True - 33 - 10
344 - corpo-list - True - 15 - 10
345 - corpus - True - 1 - 1
346 - councils - True - 3 - 3
347 - countries - True - 3 - 3
348 - court_specialists - True - 9 - 9
349 - covid-19 - True - 9 - 9
350 - cpalist - True - 1 - 1
351 - cpc - True - 2 - 2
352 - crime_records_data - True - 30 - 10
353 - cvfr - True - 1 - 1
354 - cybermarketplace - True - 1 - 1
355 - dargat_ziuhum_cley_tzama - True - 1 - 1
356 - database-of-plant-pests-in-israel - True - 600 - 10
357 - datasetlist - True - 1 - 1
358 - dat-gov-il - True - 236 - 10
359 - decision260 - True - 1 - 1
360 - degem-rechev-wltp - True - 6 - 6
361 - depo_lrt_metro - True - 6 - 6
362 - desalination - True - 1 - 1
363 - designs - True - 1 - 1
364 - digumi_arubut - True - 1 - 1
365 - disabilities-centers - True - 118 - 10
366 - distance - True - 1 - 1
367 - diurtziburi - True - 1 - 1
368 - dmn - True - 1 - 1
369 - domestic_pesticides - True - 1 - 1
370 - driving_license_ranks - True - 10 - 10
371 - driving_shcool - True - 3 - 3
372 - drugs-rehab - True - 1 - 1
373 - druzim - True - 2 - 2
374 - druzim_kadim - True - 3 - 3
375 - ecological-mapping-for-mosquito-controle - True - 123 - 10
376 - e-data-gov-il - True - 245 - 10
377 - e-data-gov-il-dataset-yeshuvmoatzadata - True - 250 - 10
378 - egd - True - 1 - 1
379 - elt - True - 1 - 1
380 - emergency_phones - True - 6 - 6
381 - emergencywatertanks - True - 1 - 1
382 - employeetravel - True - 1 - 1
383 - employment - True - 1 - 1
384 - e-new-data-gov-il - True - 247 - 10
385 - environmental_impact_index - True - 4 - 4
386 - est - True - 1 - 1
387 - ethiopianrab - True - 1 - 1
388 - eventsdistrict - True - 1 - 1
389 - excellenceframework-2016 - True - 63 - 10
390 - excellenceframework-district-2016 - True - 65 - 10
391 - excellenceframework-loacal-2016 - True - 63 - 10
392 - excellenceframework-school-2016 - True - 67 - 10
393 - excellenceframework-service-2016 - True - 91 - 10
394 - exemptions - True - 1 - 1
395 - eyv - True - 1 - 1
396 - ezv - True - 1 - 1
397 - ezvonot2018 - True - 58 - 10
398 - factory - True - 2 - 2
399 - fast_lane_gate - True - 2 - 2
400 - fast_lanes - True - 2 - 2
401 - fcs-gmp - True - 3 - 3
402 - fcs-importers - True - 10 - 10
403 - fcs-manufacturer - True - 3 - 3
404 - fees - True - 1 - 1
405 - fieldschools - True - 1 - 1
406 - financial-sanctions - True - 1 - 1
407 - fireant - True - 1 - 1
408 - firefightingfees - True - 1 - 1
409 - firs-name - True - 3 - 3
410 - flydata - True - 1 - 1
411 - foreignntz - True - 1 - 1
412 - freedom-of-info - True - 440 - 10
413 - frn - True - 1 - 1
414 - fuelstationbynumber - True - 1 - 1
415 - garbagecontainers - True - 1 - 1
416 - gdr - True - 1 - 1
417 - gemelnet - True - 1 - 1
418 - geographic-and-national-land-based-numbering-range - True - 91 - 10
419 - gis - True - 86 - 10
420 - gis-_ - True - 86 - 10
421 - gizanut - True - 1 - 1
422 - govdecisions2016 - True - 63 - 10
423 - government_advertising - True - 1 - 1
424 - greenbuildings - True - 1 - 1
425 - greenkd - True - 1 - 1
426 - greenschools - True - 1 - 1
427 - gsa - True - 1 - 1
428 - hafradat-psolet - True - 1 - 1
429 - hag - True - 1 - 1
430 - hagbalat_recall - True - 2 - 2
431 - hakirot - True - 2 - 2
432 - halicim_bateydin - True - 1 - 1
433 - hasmachottoveim - True - 1 - 1
434 - hativot-nof - True - 1 - 1
435 - hatkana_nekudat_igun - True - 2 - 2
436 - hdr - True - 2 - 2
437 - heavy-truck - True - 2 - 2
438 - hef - True - 1 - 1
439 - hekdeshot - True - 1 - 1
440 - helipad - True - 1 - 1
441 - highwayparkinglots - True - 1 - 1
442 - hitkadmuthabnia - True - 1 - 1
443 - hiv - True - 2 - 2
444 - hkr - True - 1 - 1
445 - hlz - True - 1 - 1
446 - hmo-companies - True - 5 - 5
447 - hmo_companies2014 - True - 25 - 10
448 - hmomaaleadumim - True - 1 - 1
449 - hmr - True - 1 - 1
450 - hofesh - True - 2 - 2
451 - hofesh_hameida - True - 2 - 2
452 - hof-naki - True - 2 - 2
453 - hokrim - True - 1 - 1
454 - holidaysinisrael - True - 1 - 1
455 - honoraryconsuls - True - 1 - 1
456 - hospitals_psyc - True - 4 - 4
457 - hotels_ranking - True - 2 - 2
458 - housingcontractfiles - True - 1 - 1
459 - Housingpropertyportfolios - True - 1 - 1
460 - housing-social-workers - True - 63 - 10
461 - housingunits-planning-inventory - True - 5 - 5
462 - hoze_zhut - True - 2 - 2
463 - hrd - True - 1 - 1
464 - hsg - True - 1 - 1
465 - hsv - True - 1 - 1
466 - http-dat-gov-il-forms-data-shabat-5777-xls - True - 249 - 10
467 - http-dat-gov-il-forms-data-shabat-5778-xls - True - 249 - 10
468 - https-data-gov-il-organization-ministry-of-immigrant-absorption - True - 557 - 10
469 - https-goo-gl-u7v4qv - True - 106 - 10
470 - https-main-knesset-gov-il-activity-legislation-laws-pages-lawlaws-aspx-t-lawlaws-st-lawlaws - True - 247 - 10
471 - https-shirathayam-m-datit-org-il-pirsumnisuin - True - 240 - 10
472 - https-www-cbs-gov-il-he-mediarelease-doclib-2019-057-24_19_057t1-xlsx - True - 445 - 10
473 - https-www-data-gov-il-dataset-682 - True - 251 - 10
474 - https-www-data-gov-il-dataset-683 - True - 251 - 10
475 - https-www-gov-il-he-departments-general-traffic-enforcement-cameras - True - 249 - 10
476 - https-www-gov-il-he-departments-guides-police-vehicle-confiscation-chapterindex-2 - True - 369 - 10
477 - https-www-haifa-muni-il-informationcity-documents-20-20-20-20-20-20-xls - True - 253 - 10
478 - https-www-haifa-muni-il-informationcity-documents-20-20-20-20-excel-xls - True - 262 - 10
479 - https-www-haifa-muni-il-informationcity-pages-databasespublic-aspx - True - 248 - 10
480 - hvr - True - 1 - 1
481 - hydro_station - True - 9 - 9
482 - hzf - True - 1 - 1
483 - hzr - True - 1 - 1
484 - ica-changes - True - 6 - 6
485 - ica_companies - True - 7 - 7
486 - ica_partnerships - True - 3 - 3
487 - idea - True - 1 - 1
488 - idg-platform - True - 1 - 1
489 - import_quotas - True - 8 - 8
490 - ims_stat - True - 9 - 9
491 - industrial - True - 2 - 2
492 - industrialareas - True - 1 - 1
493 - industrial-zones-info - True - 10 - 10
494 - infrastructures2017 - True - 47 - 10
495 - installed-filters - True - 2 - 2
496 - insurance - True - 2 - 2
497 - interchange_areas - True - 6 - 6
498 - intershiplabs - True - 1 - 1
499 - ipc - True - 2 - 2
500 - iplan-itur-tochnit - True - 11 - 10
501 - israel_fire_rescue_stations - True - 169 - 10
502 - israel_rain_areas_for_planning - True - 176 - 10
503 - israel-streets-synom - True - 163 - 10
504 - isreal_fire_rescue_gis - True - 87 - 10
505 - items-appproved-by-personal-import - True - 15 - 10
506 - items-that-not-approved-by-personal-import - True - 140 - 10
507 - itzumim - True - 1 - 1
508 - ivf - True - 2 - 2
509 - ivflist - True - 1 - 1
510 - jobmarketpulse - True - 1 - 1
511 - jobseekersdata - True - 1 - 1
512 - judgments - True - 1 - 1
513 - justice-miflagot - True - 77 - 10
514 - justice-patent-attorneys - True - 77 - 10
515 - kadaster - True - 1 - 1
516 - kamut_sgirot_hodshi_rechev_blikoddegem - True - 6 - 6
517 - kavi-hof - True - 2 - 2
518 - kav_ratzif_surveys - True - 8 - 8
519 - kindergarten - True - 3 - 3
520 - kindergartensmaaleadumim - True - 2 - 2
521 - kinneret_cl - True - 2 - 2
522 - kinuyeymakor - True - 1 - 1
523 - kiosk - True - 1 - 1
524 - kitot - True - 2 - 2
525 - klitamaaleadumim - True - 1 - 1
526 - kriahaziva - True - 1 - 1
527 - ksb - True - 1 - 1
528 - labs-list - True - 19 - 10
529 - legislation - True - 2 - 2
530 - level_discharge - True - 6 - 6
531 - levelseparation - True - 1 - 1
532 - lic_consumers - True - 7 - 7
533 - licences_per_missions_facilities - True - 2 - 2
534 - license_import_chemicals - True - 15 - 10
535 - licensing_bus_system - True - 15 - 10
536 - lishkahebrew - True - 1 - 1
537 - lishkot-tayarut - True - 2 - 2
538 - lishkot-tayarut-eng - True - 6 - 6
539 - List_of_abbreviated_numbers_for_emergency_distress - True - 450 - 10
540 - list_of_rabbis_for_kidushin - True - 443 - 10
541 - lists-permit-holders-for-the-provision-of-large-scale-post - True - 447 - 10
542 - local-authorities - True - 55 - 10
543 - localauthorities2017 - True - 47 - 10
544 - localauthorities2018 - True - 59 - 10
545 - local_council - True - 7 - 7
546 - local-council-1 - True - 138 - 10
547 - lod - True - 1 - 1
548 - longtermforecast_rain - True - 3 - 3
549 - lrt_line - True - 9 - 9
550 - lrt_stat - True - 11 - 10
551 - lrt_strat_plan - True - 11 - 10
552 - maale - True - 2 - 2
553 - maaleadumimpublicbuildings - True - 1 - 1
554 - mactzavot - True - 1 - 1
555 - madbirim - True - 1 - 1
556 - maflasmultiannual - True - 1 - 1
557 - maflasmultiannualforzover - True - 1 - 1
558 - mahirlair_city - True - 6 - 6
559 - mahirlair_intercity - True - 3 - 3
560 - mahozot - True - 1 - 1
561 - mamtziim_patents - True - 5 - 5
562 - mandatory-standards - True - 1 - 1
563 - manpowerconstructors - True - 1 - 1
564 - marks - True - 1 - 1
565 - mashkonot - True - 1 - 1
566 - mashlima2023 - True - 4 - 4
567 - mataan_ashkelon - True - 2 - 2
568 - mataan_hdr_ntn - True - 4 - 4
569 - matash - True - 1 - 1
570 - max_discharge - True - 3 - 3
571 - maxdischarge_yearlyvolume - True - 2 - 2
572 - max_min_longtermforecast - True - 3 - 3
573 - mazon - True - 1 - 1
574 - mdn-status - True - 2 - 2
575 - measlescoverage - True - 1 - 1
576 - mechir-lamishtaken - True - 1 - 1
577 - mef - True - 1 - 1
578 - mehir_yevuan - True - 1 - 1
579 - membership-in-liquidation - True - 19 - 10
580 - mentalhealthclinics - True - 1 - 1
581 - meonotyommaaleadumim - True - 1 - 1
582 - merchav_tichnun - True - 2 - 2
583 - merhavironi - True - 1 - 1
584 - metachnenim - True - 1 - 1
585 - metadata - True - 5 - 5
586 - metavhim - True - 1 - 1
587 - metrofan - True - 1 - 1
588 - metro_line - True - 8 - 8
589 - metronit - True - 1 - 1
590 - metro_stat - True - 10 - 10
591 - mevakshimpatents - True - 1 - 1
592 - mfaamanot - True - 1 - 1
593 - mfa_un - True - 3 - 3
594 - mgl - True - 1 - 1
595 - mhamad-hahisha - True - 1 - 1
596 - miflas2012 - True - 31 - 10
597 - miflas2013 - True - 25 - 10
598 - miflas2014 - True - 26 - 10
599 - miflas2015 - True - 121 - 10
600 - miflas2016 - True - 68 - 10
601 - miflas2017 - True - 51 - 10
602 - mile_post - True - 4 - 4
603 - mimshakim_2023 - True - 5 - 5
604 - mimshakim_2030 - True - 4 - 4
605 - misgadim - True - 1 - 1
606 - mishmoret - True - 1 - 1
607 - mishtatef - True - 1 - 1
608 - misradei_hakirot - True - 2 - 2
609 - mkt - True - 1 - 1
610 - mng - True - 1 - 1
611 - moadoniot - True - 1 - 1
612 - moag-district - True - 4 - 4
613 - modedim - True - 1 - 1
614 - mohalim-list - True - 15 - 10
615 - moj-amutot - True - 1 - 1
616 - mokdey_teunot-drachim_2018 - True - 60 - 10
617 - molsa-addictions-treatment-frames - True - 18 - 10
618 - molsa-addictions-treatment-frames-ar - True - 20 - 10
619 - molsa-court-assiatance-units - True - 31 - 10
620 - molsa-homeless-units - True - 25 - 10
621 - molsa-homeless-units-ar - True - 26 - 10
622 - molsa-outerhomes-elderly - True - 18 - 10
623 - molsa-outerhomes-elderly-ar - True - 19 - 10
624 - molsa-outerhomes-elderly-vacation - True - 18 - 10
625 - molsa-outerhomes-elderly-vacation-ar - True - 19 - 10
626 - molsa-populations-divorce-expert-ar - True - 31 - 10
627 - molsa-protected-houses-list-ar - True - 42 - 10
628 - molsa-social-and-welfare-magazin-publications - True - 134 - 10
629 - molsa-social-departmentsd-list-ar - True - 65 - 10
630 - molsa-social-sorkers-abroainstitutes - True - 51 - 10
631 - molsa-units-adult-probation-service - True - 49 - 10
632 - molsa-volunteering-coordinators - True - 17 - 10
633 - monthly-statistics - True - 38 - 10
634 - mops-gov-il - True - 236 - 10
635 - moreh-dereh-eng - True - 6 - 6
636 - mosdot - True - 1 - 1
637 - most-537 - True - 18 - 10
638 - motorcycle - True - 1 - 1
639 - mrl - True - 1 - 1
640 - msh - True - 1 - 1
641 - msr - True - 1 - 1
642 - mtl - True - 2 - 2
643 - municipal-corporations - True - 8 - 8
644 - municipal_indices - True - 7 - 7
645 - musachim - True - 1 - 1
646 - my-bills - True - 7 - 7
647 - my-dataest - True - 7 - 7
648 - my_dataset - True - 10 - 10
649 - my-dataset2 - True - 142 - 10
650 - my-dataset3 - True - 145 - 10
651 - my-dataset4 - True - 39 - 10
652 - my-dataset5 - True - 30 - 10
653 - mzr - True - 1 - 1
654 - n2r - True - 136 - 10
655 - nataz_completion - True - 6 - 6
656 - nataz_kayam - True - 4 - 4
657 - nataz_planned - True - 8 - 8
658 - nataz_strategic - True - 5 - 5
659 - national-service-numbering-range - True - 32 - 10
660 - nativ - True - 1 - 1
661 - nature-reservesmaaleadumim - True - 1 - 1
662 - nechasimb - True - 1 - 1
663 - nechasimg - True - 1 - 1
664 - nechasimp - True - 1 - 1
665 - nhr - True - 1 - 1
666 - nitrogen_oxides - True - 2 - 2
667 - nitur-yamit - True - 1 - 1
668 - nkr - True - 1 - 1
669 - nmvoc - True - 1 - 1
670 - noise-duration - True - 1 - 1
671 - noshmim-lervacha - True - 1 - 1
672 - notary - True - 1 - 1
673 - nrm - True - 1 - 1
674 - nti_taba - True - 2 - 2
675 - nti_zhut_dereh - True - 4 - 4
676 - ntn - True - 2 - 2
677 - ntv - True - 1 - 1
678 - ntz-mail - True - 3 - 3
679 - ntz-short - True - 2 - 2
680 - nurseries_supervised_fruit_trees - True - 2 - 2
681 - nutrition-database - True - 4 - 4
682 - nvz - True - 1 - 1
683 - nyz - True - 1 - 1
684 - nzl - True - 1 - 1
685 - nzn - True - 1 - 1
686 - nzr - True - 1 - 1
687 - obbusta2013 - True - 20 - 10
688 - obrailta_2013 - True - 20 - 10
689 - occupationengineer - True - 1 - 1
690 - odata - True - 1 - 1
691 - ofneidan - True - 1 - 1
692 - ofreedom-of-information-report - True - 438 - 10
693 - olim-1989-2015-age - True - 123 - 10
694 - olim-1989-2015-continent - True - 122 - 10
695 - olim-1989-2015-district - True - 124 - 10
696 - olim-1989-2015-gender - True - 122 - 10
697 - olim-1989-2015-main - True - 125 - 10
698 - olim-1989-2015-profession - True - 122 - 10
699 - olim-1989-2015-town-county - True - 122 - 10
700 - olim-1989-2015-year-month - True - 222 - 10
701 - olim_2009_2018_age - True - 76 - 10
702 - olim_2018_cities - True - 68 - 10
703 - olim_by_countries_2018 - True - 76 - 10
704 - open-area-sens - True - 13 - 10
705 - open-call - True - 8 - 8
706 - opercraft_tq - True - 2 - 2
707 - orn - True - 1 - 1
708 - outerhomes_homeless - True - 8 - 8
709 - outerhomes-homeless-ar - True - 13 - 10
710 - ownership-of-historic-sites-in-the-city - True - 445 - 10
711 - parkinglots - True - 1 - 1
712 - park_n_ride - True - 4 - 4
713 - pathogenicity - True - 1 - 1
714 - payment - True - 2 - 2
