n|rsc|name|tag|tagId
55|294|social_security|אוצר וכלכלה|--
55|294|social_security|ביטוח לאומי|--
55|294|social_security|דמי ביטוח לאומי|--
55|294|social_security|הכנסה מזערית|--
55|294|social_security|הכנסה מירבות|--
55|294|social_security|תקרת הכנסה|--
56|30|science-and-technology|מדע|--
57|30-2021|mof|אומדן|--
57|30-2021|mof|שינויים בתקציב|--
57|30-2021|mof|תקציב|--
57|30-2021|mof|תקציב וביצוע|--
59|31-2021|mof|אומדן|--
59|31-2021|mof|שינויים בתקציב|--
59|31-2021|mof|תקציב|--
59|31-2021|mof|תקציב וביצוע|--
60|31-2022|mof|תקציב|--
60|31-2022|mof|תקציב וביצוע|--
61|321|population_authority|אוכלוסיה|--
61|321|population_authority|רחובות ישראל|--
62|334|isa|אוצר וכלכלה|--
62|334|isa|חברות ציבוריות|--
62|334|isa|תאגידים מדווחים בישראל|--
62|334|isa|תאגידים ציבוריים|--
63|335|isa|אוצר וכלכלה|--
64|343|ministry_of_immigrant_absorption|אוכלוסיה|--
64|343|ministry_of_immigrant_absorption|אוצר וכלכלה|--
64|343|ministry_of_immigrant_absorption|מוסדות ציבור|--
64|343|ministry_of_immigrant_absorption|סיוע|--
64|343|ministry_of_immigrant_absorption|עזבונות|--
65|345|ministry_of_agriculture|בעלי חיים|--
65|345|ministry_of_agriculture|בריאות|--
65|345|ministry_of_agriculture|בריאות ורווחה|--
65|345|ministry_of_agriculture|חקלאות|--
65|345|ministry_of_agriculture|סביבה|--
65|345|ministry_of_agriculture|רופאים וטרינריים|--
65|345|ministry_of_agriculture|רפואה|--
66|348|bank_israel|אוצר וכלכלה|--
67|350|bank_israel|אוצר וכלכלה|--
68|351|bank_israel|אוצר וכלכלה|--
69|352|bank_israel|אוצר וכלכלה|--
70|353|bank_israel|אוצר וכלכלה|--
71|354new|bank_israel|אוצר וכלכלה|--
72|355new|bank_israel|אוצר וכלכלה|--
73|356|bank_israel|2012|--
73|356|bank_israel|אוצר וכלכלה|--
73|356|bank_israel|בנק ישראל|--
73|356|bank_israel|מטבעות יציגים|--
73|356|bank_israel|שער חליפין|--
73|356|bank_israel|שערי מטבע|--
74|357|bank_israel|2011|--
74|357|bank_israel|אוצר וכלכלה|--
74|357|bank_israel|בנק ישראל|--
74|357|bank_israel|שערי מטבע|--
74|357|bank_israel|שערים יציגים|--
75|358|bank_israel|אוצר וכלכלה|--
76|360|bank_israel|אוצר וכלכלה|--
77|361|bank_israel|2007|--
77|361|bank_israel|אוצר וכלכלה|--
77|361|bank_israel|בנק ישראל|--
77|361|bank_israel|מטבעות יציגים|--
77|361|bank_israel|שערי מטבע|--
78|362|bank_israel|2006|--
78|362|bank_israel|אוצר וכלכלה|--
78|362|bank_israel|בנק ישראל|--
78|362|bank_israel|מטבע חוץ|--
78|362|bank_israel|שערי חליפין|--
78|362|bank_israel|שערים יציגים|--
78|362|bank_israel|שערים ממוצעים|--
79|363|bank_israel|2005|--
79|363|bank_israel|אוצר וכלכלה|--
79|363|bank_israel|בנק ישראל|--
79|363|bank_israel|מטבע יציג|--
79|363|bank_israel|שערי מטבע|--
79|363|bank_israel|שערים ממוצעים|--
80|364|bank_israel|אוצר וכלכלה|--
80|364|bank_israel|בנק ישראל|--
80|364|bank_israel|שער יציג|--
80|364|bank_israel|שערי מטבע|--
80|364|bank_israel|שערים ממוצעים|--
81|365|bank_israel|אוצר וכלכלה|--
81|365|bank_israel|מטבע חוץ|--
81|365|bank_israel|שערי חליפין|--
81|365|bank_israel|שערים יציגים|--
81|365|bank_israel|שערים ממוצעים|--
82|366|bank_israel|אוצר וכלכלה|--
82|366|bank_israel|מטבע חוץ|--
82|366|bank_israel|מטבעות יציגים|--
82|366|bank_israel|שער יציג|--
82|366|bank_israel|שערי חליפין|--
82|366|bank_israel|שערים ממוצעים|--
83|367|bank_israel|2001|--
83|367|bank_israel|אוצר וכלכלה|--
83|367|bank_israel|בנק ישראל|--
83|367|bank_israel|שער יציג|--
83|367|bank_israel|שערי מטבע|--
83|367|bank_israel|שערים ממוצעים|--
84|371|bank_israel|אוצר וכלכלה|--
84|371|bank_israel|בנק ישראל|--
84|371|bank_israel|הצמדה למדד|--
84|371|bank_israel|משכנתאות|--
84|371|bank_israel|עמלת פרעון מוקדם|--
84|371|bank_israel|ריבית ממוצעת|--
85|374|bank_israel|אוצר וכלכלה|--
85|374|bank_israel|בנק ישראל|--
85|374|bank_israel|לא צמוד|--
85|374|bank_israel|מגזר שיקלי|--
85|374|bank_israel|משכנתאות|--
85|374|bank_israel|ריבית קבועה ממוצעת|--
86|375|bank_israel|אוצר וכלכלה|--
86|375|bank_israel|בנק ישראל|--
86|375|bank_israel|בנקים|--
87|377|bank_israel|אוצר וכלכלה|--
87|377|bank_israel|בנק ישראל|--
87|377|bank_israel|חשבונות מוגבלים|--
87|377|bank_israel|תאגידים|--
88|379|bank_israel|אוצר וכלכלה|--
88|379|bank_israel|בנק ישראל|--
88|379|bank_israel|מדד משולב|--
88|379|bank_israel|שינוי במדד המשולב|--
89|381|bank_israel|אוצר וכלכלה|--
90|408|culture_and_sports|חינוך ותרבות|--
90|408|culture_and_sports|מתקני ספורט|--
90|408|culture_and_sports|נגישות|--
90|408|culture_and_sports|ספורט|--
90|408|culture_and_sports|תחרויות|--
91|425|ministry_of_education|חינוך ותרבות|--
92|46|science-and-technology|מדען ראשי חברי פורום|--
93|48|science-and-technology|מדע|--
93|48|science-and-technology|סל מדע|--
94|481|meteorological_service|אקלים|--
94|481|meteorological_service|השירות המטאורולוגי|--
94|481|meteorological_service|השרות המטאורולוגי|--
94|481|meteorological_service|טמפרטורה|--
94|481|meteorological_service|לחות יחסית|--
94|481|meteorological_service|לחץ|--
94|481|meteorological_service|משקעים|--
94|481|meteorological_service|סביבה|--
94|481|meteorological_service|רוח|--
95|486|betihut-drahim|אוכלוסיה|--
95|486|betihut-drahim|בטיחות|--
95|486|betihut-drahim|בטיחות בדרכים|--
95|486|betihut-drahim|משרד התחבורה|--
95|486|betihut-drahim|תחבורה|--
96|49|science-and-technology|מדע|--
98|500|ministry_of_agriculture|חקלאות|--
98|500|ministry_of_agriculture|ירקות|--
98|500|ministry_of_agriculture|מזון|--
98|500|ministry_of_agriculture|משרד החקלאות|--
98|500|ministry_of_agriculture|פירות|--
98|500|ministry_of_agriculture|פירות וירקות|--
99|502|culture_and_sports|הכשרה|--
99|502|culture_and_sports|מרכזי צלילה|--
99|502|culture_and_sports|ספורט|--
99|502|culture_and_sports|צלילה|--
100|502-2|culture_and_sports|איל|--
100|502-2|culture_and_sports|מרכזי צלילה|--
100|502-2|culture_and_sports|ספורט|--
100|502-2|culture_and_sports|צלילה|--
101|503|culture_and_sports|מוזיאונים|--
102|504|culture_and_sports|סרטים|--
103|506-1|culture_and_sports|בוחן רכב|--
103|506-1|culture_and_sports|מכוניו|--
103|506-1|culture_and_sports|נהיגה ספורטיבי|--
104|506-2|culture_and_sports|אופנוע|--
104|506-2|culture_and_sports|בוחני רכב|--
104|506-2|culture_and_sports|טרקטורון|--
104|506-2|culture_and_sports|נהיגה ספורטיבי|--
105|507|culture_and_sports|הכשרה|--
105|507|culture_and_sports|מוסד|--
105|507|culture_and_sports|נהיגה ספורטיבית|--
106|508|culture_and_sports|דרגות|--
106|508|culture_and_sports|נהיגה|--
106|508|culture_and_sports|נהיגה ספורטיבית|--
106|508|culture_and_sports|רישיון|--
107|51|science-and-technology|חוגים|--
107|51|science-and-technology|סל מדע|--
108|510|culture_and_sports|מוזיאון|--
108|510|culture_and_sports|מוכר|--
108|510|culture_and_sports|תרבות|--
109|517|culture_and_sports|הכשר|--
109|517|culture_and_sports|מאושרים|--
109|517|culture_and_sports|מאמנים|--
109|517|culture_and_sports|מוסדו|--
109|517|culture_and_sports|קורסים|--
110|518|culture_and_sports|מוסדות הכשרה|--
110|518|culture_and_sports|מידעונים|--
111|519|culture_and_sports|תוכנית לימודים ענף ספורט הכשרת מדריכים|--
112|52|science-and-technology|חלל|--
112|52|science-and-technology|טכנולוגיה|--
112|52|science-and-technology|מדע|--
113|520|culture_and_sports|תוכניות לימודים הכשרת מאמנים ענף ספורט|--
114|521|culture_and_sports|ענפי קרב מוכרים|--
115|53|science-and-technology|משרד המדע|--
116|531|mof|אוצר וכלכלה|--
116|531|mof|שינויים תקציב|--
116|531|mof|תקציב|--
117|532|culture_and_sports|מנהלי מחלקות ספורט רשויות מקומיות|--
118|534|mof|אוצר וכלכלה|--
118|534|mof|ביצוע|--
118|534|mof|תקציב|--
119|535|culture_and_sports|סוגי מתקן|--
119|535|culture_and_sports|סל הספורט|--
120|536|culture_and_sports|גיל|--
120|536|culture_and_sports|ספורט|--
120|536|culture_and_sports|ענף|--
121|537|ministry_of_immigrant_absorption|אוכלוסיה|--
121|537|ministry_of_immigrant_absorption|משרד לקליטת עליה|--
121|537|ministry_of_immigrant_absorption|עולים חדשים|--
121|537|ministry_of_immigrant_absorption|עלייה|--
121|537|ministry_of_immigrant_absorption|קליטה|--
122|538|ministry_of_immigrant_absorption|אוכלוסיה|--
123|538-1|culture_and_sports|אגרה|--
123|538-1|culture_and_sports|כלי תחרותי|--
123|538-1|culture_and_sports|נהיגה ספורטיבית|--
123|538-1|culture_and_sports|רישיון|--
123|538-1|culture_and_sports|רכב|--
124|539|ministry_of_immigrant_absorption|אוכלוסיה|--
125|54|science-and-technology|משרד המדע|--
126|541|culture_and_sports|מומחי שימור מוזיאונים|--
127|542|isa|אוצר וכלכלה|--
127|542|isa|יועצי השקעות|--
127|542|isa|מנהלי תיקים|--
127|542|isa|רשות ניירות הערך|--
128|543|isa|אוצר וכלכלה|--
129|544|isa|אוצר וכלכלה|--
129|544|isa|חברות חיתום|--
129|544|isa|חתמים|--
129|544|isa|רשות ניירות הערך|--
130|545|isa|אוצר וכלכלה|--
130|545|isa|חתמים|--
130|545|isa|חתמים מורשים|--
130|545|isa|רשות לניירות ערך|--
130|545|isa|רשות ניירות הערך|--
131|547|knesset|הכנה בוועדה|--
131|547|knesset|הכנסת|--
131|547|knesset|הצעות חוק|--
131|547|knesset|הצעות חוק ממשלתיות|--
131|547|knesset|הצעות חוק פרטיות|--
131|547|knesset|הצעת חוק ממשלתית|--
131|547|knesset|הצעת חוק פרטית|--
131|547|knesset|הצעת חוק של ועדה|--
131|547|knesset|כנסת|--
131|547|knesset|לדיון במליאה|--
131|547|knesset|משפט|--
131|547|knesset|קריאה ראשונה|--
131|547|knesset|קריאה שלישית|--
131|547|knesset|קריאה שלישת|--
131|547|knesset|קריאה שניה|--
131|547|knesset|קריאה שנייה|--
132|548|knesset|הכנסת|--
132|548|knesset|הצעות חוק|--
132|548|knesset|חקיקה|--
132|548|knesset|כנסת|--
132|548|knesset|משפט|--
132|548|knesset|קריאה שלישית|--
133|549|knesset|אוצר וכלכלה|--
133|549|knesset|חברי כנסת|--
133|549|knesset|כנסת|--
133|549|knesset|ממשלות|--
133|549|knesset|סיעות|--
134|551|culture_and_sports|ספריות ציבוריות חברי מועצה|--
135|552|culture_and_sports|קולנוע חברי מועצה|--
136|557|ministry_of_the_environment|קרינה|--
137|558|culture_and_sports|אלימות ספורט|--
138|559|culture_and_sports|קידום נשים ספורט חברי מועצה|--
139|56|science-and-technology|משרד המדע|--
140|564|mof|אוצר וכלכלה|--
140|564|mof|משרד האוצר|--
140|564|mof|תקציב 2013|--
140|564|mof|תקציב 2014|--
140|564|mof|תקציב המדינה|--
141|566|culture_and_sports|מאגר יועצים משפטיים|--
142|568|culture_and_sports|אגרה|--
142|568|culture_and_sports|נהיגה|--
142|568|culture_and_sports|נהיגה ספורטיבית|--
142|568|culture_and_sports|רישוי|--
142|568|culture_and_sports|רישיון|--
143|591|science-and-technology|מוזיאונים חברי מועצה|--
144|609|culture_and_sports|התאחדות תאגיד נהיגה ספורטיבית|--
145|61|science-and-technology|משרד המדע|--
146|62|science-and-technology|משרד המדע|--
147|642|culture_and_sports|ספריות ציבוריות|--
148|643|culture_and_sports|ביקורת סרטים חברי מועצה|--
149|650|culture_and_sports|סרטים|--
150|651|bank_israel|אוצר וכלכלה|--
150|651|bank_israel|בנק ישראל|--
150|651|bank_israel|מטבע חוץ|--
150|651|bank_israel|שערי חליפין|--
151|652|bank_israel|אוצר וכלכלה|--
152|653|bank_israel|2013|--
152|653|bank_israel|אוצר וכלכלה|--
152|653|bank_israel|בנק ישראל|--
152|653|bank_israel|מטבע יציג|--
152|653|bank_israel|שערי מטבע|--
153|659|isa|אוצר וכלכלה|--
153|659|isa|השקעות|--
153|659|isa|חברות ייעוץ השקעות|--
153|659|isa|ניהול תיקים|--
153|659|isa|ניירות ערך|--
154|671|ministry_of_agriculture|בקר|--
154|671|ministry_of_agriculture|בריאות ורווחה|--
154|671|ministry_of_agriculture|דגים|--
154|671|ministry_of_agriculture|וטרינרים|--
154|671|ministry_of_agriculture|חקלאות|--
154|671|ministry_of_agriculture|מחלות בעלי חיים|--
154|671|ministry_of_agriculture|סביבה|--
154|671|ministry_of_agriculture|סוסים|--
155|673|ministry_of_agriculture|הדברה|--
155|673|ministry_of_agriculture|חקלאות|--
155|673|ministry_of_agriculture|סביבה|--
156|6b1c032a-fdc1-4f92-bee1-14d6bf6af910|water_authority|טיוב|--
156|6b1c032a-fdc1-4f92-bee1-14d6bf6af910|water_authority|מים|--
156|6b1c032a-fdc1-4f92-bee1-14d6bf6af910|water_authority|קידוחים|--
156|6b1c032a-fdc1-4f92-bee1-14d6bf6af910|water_authority|רשות המים|--
157|711|mof|אוצר וכלכלה|--
157|711|mof|משרד האוצר|--
157|711|mof|שינויי תקציב|--
157|711|mof|תקציב 2013|--
157|711|mof|תקציב המדינה|--
158|808|mof|אוצר וכלכלה|--
159|813|ministry_of_justice|חוק חופש המידע|--
159|813|ministry_of_justice|משפט|--
160|814|ministry_of_justice|חופש המידע|--
160|814|ministry_of_justice|משפט|--
160|814|ministry_of_justice|תשובות לבקשות|--
161|826|israel_mapping_center|מטה דאטה|--
161|826|israel_mapping_center|סביבה|--
161|826|israel_mapping_center|שכבות|--
162|827|israel_mapping_center|מפות|--
162|827|israel_mapping_center|מרחק בין יישובים|--
162|827|israel_mapping_center|מרחקי דרך|--
162|827|israel_mapping_center|מרכז למיפוי ישראל|--
162|827|israel_mapping_center|סביבה|--
163|828|israel_mapping_center|אוכלוסיה|--
163|828|israel_mapping_center|מיפוי ישראל|--
163|828|israel_mapping_center|סביבה|--
163|828|israel_mapping_center|קואורדינטות ITM|--
164|829|israel_mapping_center|מיפוי ישראל|--
164|829|israel_mapping_center|מפות כבישים|--
164|829|israel_mapping_center|פריסת כבישים|--
164|829|israel_mapping_center|תחבורה|--
165|830|israel_mapping_center|GPS|--
165|830|israel_mapping_center|דיוק גבוה|--
165|830|israel_mapping_center|מיקום על פי לווין|--
165|830|israel_mapping_center|סביבה|--
165|830|israel_mapping_center|תחנות קבע|--
166|831|israel_mapping_center|מיפוי ישראל|--
166|831|israel_mapping_center|מפות|--
166|831|israel_mapping_center|מפות 25000|--
166|831|israel_mapping_center|סביבה|--
166|831|israel_mapping_center|קנה מידה 25000|--
167|832|israel_mapping_center|מפות 50000|--
167|832|israel_mapping_center|מפי|--
167|832|israel_mapping_center|מרכז למיפוי ישראל|--
167|832|israel_mapping_center|סביבה|--
168|833|israel_mapping_center|מפתח מפות|--
168|833|israel_mapping_center|סביבה|--
169|860|rabinical_court|אוכלוסיה|--
169|860|rabinical_court|דת|--
169|860|rabinical_court|משפט|--
170|861|rabinical_court|בתי דין|--
170|861|rabinical_court|בתי הדין הרבניים|--
170|861|rabinical_court|משפט|--
171|862|rabinical_court|בתי דין הרבניים|--
171|862|rabinical_court|בתי הדין|--
171|862|rabinical_court|גירושין|--
171|862|rabinical_court|דת|--
171|862|rabinical_court|משפט|--
171|862|rabinical_court|פסקי דין|--
172|863|rabinical_court|אוכלוסיה|--
172|863|rabinical_court|בתי הדין הרבניים|--
172|863|rabinical_court|גירושין|--
172|863|rabinical_court|דת|--
173|864|rabinical_court|בתי דין רבניים|--
173|864|rabinical_court|בתי הדין|--
173|864|rabinical_court|דת|--
173|864|rabinical_court|משפט|--
174|865|rabinical_court|בתי דין רבניים|--
174|865|rabinical_court|בתי הדין הרבניים|--
174|865|rabinical_court|דת|--
174|865|rabinical_court|משפט|--
175|926|israel_mapping_center|אוכלוסיה|--
175|926|israel_mapping_center|סביבה|--
175|926|israel_mapping_center|שדה תעופה|--
175|926|israel_mapping_center|שדות תעופה|--
175|926|israel_mapping_center|תחבורה|--
176|927|israel_mapping_center|אנרגיה ומים|--
176|927|israel_mapping_center|חוף|--
176|927|israel_mapping_center|סביבה|--
176|927|israel_mapping_center|קווי החוף|--
177|928|israel_mapping_center|נמלי פריקה והטענה|--
177|928|israel_mapping_center|נמלים|--
177|928|israel_mapping_center|סביבה|--
177|928|israel_mapping_center|פריקה|--
177|928|israel_mapping_center|תחבורה|--
178|930|israel_mapping_center|ים|--
178|930|israel_mapping_center|נמל|--
178|930|israel_mapping_center|נמלים ימיים|--
178|930|israel_mapping_center|סביבה|--
179|931|israel_mapping_center|סביבה|--
179|931|israel_mapping_center|שכבת דרכים|--
179|931|israel_mapping_center|תחבורה|--
180|932|israel_mapping_center|מסילות ברזל|--
180|932|israel_mapping_center|סביבה|--
181|933|israel_mapping_center|אנרגיה ומים|--
181|933|israel_mapping_center|נחל|--
181|933|israel_mapping_center|נחלים|--
181|933|israel_mapping_center|סביבה|--
181|933|israel_mapping_center|שכבת נחלים|--
182|934|isa|אוצר וכלכלה|--
182|934|isa|קרנות נאמנות|--
183|935|isa|אוצר וכלכלה|--
183|935|isa|מנהלי קרנות נאמנות|--
184|943|haifa|אוכלוסיה|--
184|943|haifa|איכות הסביבה|--
184|943|haifa|בתי כנסת|--
184|943|haifa|חינוך ותרבות|--
184|943|haifa|חיפה|--
185|944|haifa|אוכלוסיה|--
185|944|haifa|אזורים|--
185|944|haifa|חיפה|--
185|944|haifa|רובע|--
185|944|haifa|רחובות|--
186|945|haifa|אוכלוסיה|--
187|946|haifa|אוכלוסיה|--
187|946|haifa|חינוך ותרבות|--
188|947|haifa|אוכלוסיה|--
188|947|haifa|בריאות ורווחה|--
189|953|mof|אוצר וכלכלה|--
190|958|social_security|אוכלוסיה|--
191|961|mof|אוצר וכלכלה|--
192|969|mof|אוצר וכלכלה|--
192|969|mof|תקציב|--
193|982|mof|אוצר וכלכלה|--
193|982|mof|תקציב וביצוע|--
194|983|rabinical_court|דת|--
194|983|rabinical_court|משפט|--
194|983|rabinical_court|סנקציות|--
195|991|mof|אוצר וכלכלה|--
195|991|mof|תקציב|--
196|a2016|mof|אוצר וכלכלה|--
196|a2016|mof|תקציב|--
197|academic|israel_mapping_center|המרכז למיפוי ישראל|--
197|academic|israel_mapping_center|חינוך ותרבות|--
198|accessibilityorders|ministry_of_justice|משרד המשפטים|--
198|accessibilityorders|ministry_of_justice|תיקי פיקוח|--
199|accidents2018|lamas|הלשכה המרכזית לסטטיסטיקה|--
199|accidents2018|lamas|תאונות דרכים|--
199|accidents2018|lamas|תחבורה|--
200|accidents_municipal|ministry_of_transport|gis|--
200|accidents_municipal|ministry_of_transport|חצב|--
200|accidents_municipal|ministry_of_transport|ממג|--
200|accidents_municipal|ministry_of_transport|רשות מוניציפלית|--
200|accidents_municipal|ministry_of_transport|תאונות דרכים|--
201|accid_taz|ministry_of_transport|gis|--
201|accid_taz|ministry_of_transport|אזורי תנועה|--
201|accid_taz|ministry_of_transport|חצב|--
201|accid_taz|ministry_of_transport|ממג|--
201|accid_taz|ministry_of_transport|תאונות דרכים|--
202|acquifer|water_authority|water|--
202|acquifer|water_authority|אקוויפר|--
202|acquifer|water_authority|מים|--
202|acquifer|water_authority|רשות המים|--
204|aidtools|moital|כלי סיוע|--
204|aidtools|moital|כלכלה|--
205|aircraft_data_il|ministry_of_transport|משרד התחבורה|--
