n|j|name|type|date|title|org|geo|freq|resources|tags|author|email|orgh|licID|lictitle|notes
39|0|209|dataset|2020-07-26|עמותות וארגונים למען בעלי חיים|ministry_of_the_environment|No|NotConstant|1|5|המשרד להגנת הסביבה|pniot@sviva.gov.il|המשרד להגנת הסביבה|||רשימת עמותות וארגונים למען בעלי חיים בישראל, לינק למאגר באתר המשרד: https://www.gov.il/he/departments/guides/animal_ngo_and_organizations
40|6|21|dataset|2020-07-08|מרכזי חונכות ללימודי מדעים|science-and-technology|No|NA|1|1|--|netanelm@most.gov.il|משרד החדשנות, המדע והטכנולוגיה|||"במסגרת פרויקט ""חונכות ללימודי מדעים"" בשותפות פר""ח, מלווים סטודנטים וסטודנטיות מתחומי ההנדסה, הטכנולוגיה והמדעים המדויקים תלמידים ותלמידות התיכון ומעבירים להם שיעורי עזר במקצועות הריאליים, המדעים והאנגלית. ברשימה מרכזי פר""ח ופרטים ליצירת קשר"
41|0|257|dataset|2020-07-08|פרסום מידע תעופתי פנים ארצי|ministry_of_transport|No|NA|1|6|משרד התחבורה -רשות התעופה האזרחית|Rapha@mot.gov.il|משרד התחבורה והבטיחות בדרכים|||פרסום מידע תעופתי פנים ארצי (פמ''ת) כולל מידע, כללים והוראות לביצוע טיסות אזרחיות במרחב האוירי של מדינת ישראל וכן מידע אודות שרותי התעבורה האוירית האזרחית (פקוח טיסה, בקרה מרחבית, מודיעין טיס וכו').
42|0|258|dataset|2020-07-08|מאגר דוחות חקירה בטיחותיים|ministry_of_transport|No|NA|1|5|משרד התחבורה משרד החוקר הראשי|webmaster@mot.gov.il|משרד התחבורה והבטיחות בדרכים|cc-by|Creative Commons Attribution|מאגר דוחות חקירה בטיחותיים בתחום התעופה האזרחית.
43|0|276|dataset|2020-07-08|חנויות ומסעדות בנתב"ג|airport_authority|No|NA|1|2|רשות שדות התעופה|yerael@tehila.gov.il|רשות שדות התעופה|||
44|0|278|dataset|2020-07-08|כתובות של שדות תעופה ומעברי גבול|airport_authority|No|NA|1|5|רשות שדות התעופה|yerael@tehila.gov.il|רשות שדות התעופה|||מאגר כתובות של שדות תעופה ומעברי גבול.
45|0|280|dataset|2020-07-08|סטטיסטיקה מעברי גבול|airport_authority|No|NA|1|3|רשות שדות התעופה|yerael@tehila.gov.il|רשות שדות התעופה|||מאגר זה מכיל סטטיסטיקה מעברי גבול.
46|0|285|dataset|2020-07-08|רשימת סניפי ביטוח לאומי|social_security|No|NA|1|4|ביטוח לאומי|cochava@nioi.gov.il|המוסד לביטוח לאומי|||מאגר המכיל רשימת סניפי הביטוח לאומי.
47|0|287|dataset|2020-07-08|הסכום הבסיסי לחישוב קיצבאות|social_security|No|NA|1|4|ביטוח לאומי|cochava@nioi.gov.il|המוסד לביטוח לאומי|||מאגר זה מכיל נתונים על הסכום הבסיסי לחישוב קיצבאות.
48|0|288|dataset|2020-07-09|שכר מינימום|social_security|No|NA|1|3|ביטוח לאומי|cochava@nioi.gov.il|המוסד לביטוח לאומי|||שכר מינימום מעודכן:שכר יומי למועסק 5 ימים בשבוע: 214.62 ש"ח (החל ב- 01.04.2015)שכר יומי למועסק 6 ימים בשבוע: 186.00 ש"ח (החל ב- 01.04.2015)שכר לשעה: 25.00 ש"ח (החל ב- 01.04.2015)שכר חודשי: 4,650.00 ש"ח (החל ב- 01.04.2015)
49|1|289|dataset|2020-07-09|שיעור דמי הביטוח כאחוז מההכנסה - שכיר בגיל הביטוח|social_security|No|NA|1|4|ביטוח לאומי|cochava@nioi.gov.il|המוסד לביטוח לאומי|||מאגר זה מכיל נתונים על שיעור דמי הביטוח כאחוז מההכנסה - שכיר בגיל הביטוח.
50|1|29|dataset|2020-07-09|קייטנות מדע קיץ|science-and-technology|No|NA|1|3|--|netanelm@most.gov.il|משרד החדשנות, המדע והטכנולוגיה|cc-by|Creative Commons Attribution|קייטנות מדע קיץ
51|0|290|dataset|2020-07-09|שיעור דמי הביטוח כאחוז מההכנסה - עצמאי בגיל הביטוח|social_security|No|NA|1|4|ביטוח לאומי|cochava@nioi.gov.il|המוסד לביטוח לאומי|||מאגר זה מכיל נתונים על שיעור דמי הביטוח כאחוז מההכנסה - עצמאי בגיל הביטוח.
52|0|291|dataset|2020-07-09|שיעור דמי הביטוח כאחוז מההכנסה - לא עובד שכיר ולא עובד עצמאי בגיל הביטוח|social_security|No|NA|1|3|ביטוח לאומי|cochava@nioi.gov.il|המוסד לביטוח לאומי|||מאגר זה מכיל נתונים על שיעור דמי הביטוח כאחוז מההכנסה - לא עובד שכיר ולא עובד עצמאי בגיל הביטוח.
53|0|292|dataset|2020-10-14|הכנסה מזערית ומרבית לחישוב דמי ביטוח ותקרת הכנסה לשיעור מופחת - עובד שכיר ומעסיק|social_security|No|NA|1|7|ביטוח לאומי|cochava@nioi.gov.il|המוסד לביטוח לאומי|||מאגר זה מכיל נתונים על הכנסה מזערית ומרבית לחישוב דמי ביטוח ותקרת הכנסה לשיעור מופחת - עובד שכיר ומעסיק.
54|0|293|dataset|2020-07-09|הכנסה מזערית ומרבית לחישוב דמי ביטוח ותקרת הכנסה לשיעור מופחת - עובד עצמאי|social_security|No|NA|1|6|ביטוח לאומי|cochava@nioi.gov.il|המוסד לביטוח לאומי|||מאגר זה מכיל נתונים על הכנסה מזערית ומרבית לחישוב דמי ביטוח ותקרת הכנסה לשיעור מופחת - עובד עצמאי.
55|0|294|dataset|2020-07-08|הכנסה מזערית ומרבית לחישוב דמי ביטוח ותקרת הכנסה לשיעור מופחת - לא עובד ולא עצמאי|social_security|No|NA|1|6|ביטוח לאומי|cochava@nioi.gov.il|המוסד לביטוח לאומי|||הכנסה מזערית ומרבית לחישוב דמי ביטוח ותקרת הכנסה לשיעור מופחת - לא עובד ולא עובד.
63|0|321|dataset|2023-03-19|רשימת רחובות ישראל|population_authority|No|Week|23|2|--|LiorSh@piba.gov.il|רשות האוכלוסין וההגירה|||רשות האוכלוסין וההגירה מפרסמת מידי תקופה רשימת רחובות לשימוש חופשי של הציבור.
64|0|334|dataset|2020-07-09|רשימת חברות|isa|No|NA|1|4|רשות ניירות הערך|YaelT@isa.gov.il|רשות ניירות ערך|||רשימת חברות
65|0|335|dataset|2020-07-09|Public Companies|isa|No|NA|1|1|רשות ניירות הערך|YaelT@isa.gov.il|רשות ניירות ערך|||Public Companies
66|0|343|dataset|2020-07-09|רשימת מוסדות ציבור וארגונים מקבלי סיוע מעזבונות לטובת המדינה|ministry_of_immigrant_absorption|No|NA|3|5|המשרד לקליטת עליה|zvie@moia.gov.il|משרד העלייה והקליטה|||
67|0|345|dataset|2023-03-24|רופאים וטרינרים בישראל|ministry_of_agriculture|No|Day|1|7|--|sofiam@moag.gov.il|משרד החקלאות ופיתוח הכפר|||רשימת רופאים וטרינריים הפועלים בישראל
68|0|348|dataset|2020-06-11|שערי חליפין יציגים ל- 24 מטבעות, כולל סל המטבעות (נתונים יומיים) 1977 - 1981|bank_israel|No|NA|1|1||yehudit.golan@boi.org.il|בנק ישראל|||מאגר זה מכיל שערי חליפין יציגים ל- 24 מטבעות, כולל סל המטבעות (נתונים יומיים) 1977 - 1981.
69|0|350|dataset|2020-06-11|שערי חליפין יציגים ל- 24 מטבעות, כולל סל המטבעות (נתונים יומיים) 1982 - 1986|bank_israel|No|NA|1|1|בנק ישראל|yehudit.golan@boi.org.il|בנק ישראל|||מאגר זה מכיל מאגר שערי חליפין יציגים ל- 24 מטבעות, כולל סל המטבעות (נתונים יומיים) 1982 - 1986.
70|0|351|dataset|2020-06-11|שערי חליפין יציגים ל- 24 מטבעות, כולל סל המטבעות (נתונים יומיים) 1987 - 1991|bank_israel|No|NA|1|1||yehudit.golan@boi.org.il|בנק ישראל|||מאגר זה מכיל שערי חליפין יציגים ל- 24 מטבעות, כולל סל המטבעות (נתונים יומיים) 1987 - 1991.
71|0|352|dataset|2020-06-11|שערי חליפין יציגים ל- 24 מטבעות, כולל סל המטבעות (נתונים יומיים) 1992 - 1996|bank_israel|No|NA|1|1|בנק ישראל|yehudit.golan@boi.org.il|בנק ישראל|||מאגר זה מכיל שערי חליפין יציגים ל- 24 מטבעות, כולל סל המטבעות (נתונים יומיים) 1992 - 1996.
72|0|353|dataset|2020-06-11|שערי חליפין יציגים ל- 24 מטבעות, כולל סל המטבעות (נתונים יומיים) 1997 - 2000|bank_israel|No|NA|1|1||yehudit.golan@boi.org.il|בנק ישראל|||מאגר זה מכיל שערי חליפין יציגים ל- 24 מטבעות, כולל סל המטבעות (נתונים יומיים) 1997 - 2000.
73|2|354new|dataset|2020-06-11|שערי חליפין יציגים ל- 24 מטבעות, כולל סל המטבעות (נתונים יומיים) 2001 - 2006|bank_israel|No|NA|1|1||yehudit.golan@boi.org.il|בנק ישראל|||מאגר זה מכיל שערי חליפין יציגים ל- 24 מטבעות, כולל סל המטבעות (נתונים יומיים) 2001 - 2006.
74|3|355new|dataset|2020-06-11|שערי חליפין יציגים ל- 24 מטבעות, כולל סל המטבעות (נתונים יומיים) 2007 - 2012|bank_israel|No|NA|1|1|בנק ישראל|yehudit.golan@boi.org.il|בנק ישראל|||מאגר זה מכיל שערי חליפין יציגים ל- 24 מטבעות, כולל סל המטבעות (נתונים יומיים) 2007 - 2012.
75|0|356|dataset|2020-06-11|שערים ממוצעים לכל המטבעות היציגים - 2012|bank_israel|No|NA|1|6|בנק ישראל|yehudit.golan@boi.org.il|בנק ישראל|||מאגר זה מכיל רשימת שערים ממוצעים לכל המטבעות היציגים - 2012.
76|0|357|dataset|2020-06-11|שערים ממוצעים לכל המטבעות היציגים - 2011 פרטי המאגר|bank_israel|No|NA|1|5|בנק ישראל|yehudit.golan@boi.org.il|בנק ישראל|||מאגר זה מכיל רשימת שערים ממוצעים לכל המטבעות היציגים - 2011 פרטי המאגר.
77|0|358|dataset|2020-06-11|שערים ממוצעים לכל המטבעות היציגים - 2010|bank_israel|No|NA|1|1|בנק ישראל|yehudit.golan@boi.org.il|בנק ישראל|||מאגר זה מכיל שערים ממוצעים לכל המטבעות היציגים - 2010.
78|0|360|dataset|2020-06-11|שערים ממוצעים לכל המטבעות היציגים - 2008|bank_israel|No|NA|1|1|בנק ישראל, שערי מטבע, מטבע יציג, 2008|yehudit.golan@boi.org.il|בנק ישראל|||שערים ממוצעים לכל המטבעות היציגים - 2008.
79|0|361|dataset|2020-06-11|שערים ממוצעים לכל המטבעות היציגים - 2007|bank_israel|No|NA|1|5|בנק ישראל|yehudit.golan@boi.org.il|בנק ישראל|||שערים ממוצעים לכל המטבעות היציגים - 2007.
80|0|362|dataset|2022-08-08|שערים ממוצעים לכל המטבעות היציגים - 2006|bank_israel|No|NoUpdate|1|7|--|yehudit.golan@boi.org.il|בנק ישראל|other-open|Other (Open)|שערים ממוצעים לכל המטבעות היציגים - 2006
81|0|363|dataset|2020-06-11|שערים ממוצעים לכל המטבעות היציגים - 2005|bank_israel|No|NA|1|6|בנק ישראל|yehudit.golan@boi.org.il|בנק ישראל|||שערים ממוצעים לכל המטבעות היציגים - 2005
82|0|364|dataset|2020-06-11|שערים ממוצעים לכל המטבעות היציגים - 2004|bank_israel|No|NA|1|5|בנק ישראל|yehudit.golan@boi.org.il|בנק ישראל|||שערים ממוצעים לכל המטבעות היציגים - 2004.
83|0|365|dataset|2020-06-11|שערים ממוצעים לכל המטבעות היציגים - 2003|bank_israel|No|NA|1|5|בנק ישראל|yehudit.golan@boi.org.il|בנק ישראל|||שערים ממוצעים לכל המטבעות היציגים - 2003
84|0|366|dataset|2020-06-11|שערים ממוצעים לכל המטבעות היציגים - 2002|bank_israel|No|NA|1|6|בנק ישראל|yehudit.golan@boi.org.il|בנק ישראל|||שערים ממוצעים לכל המטבעות היציגים - 2002
85|0|367|dataset|2020-06-11|שערים ממוצעים לכל המטבעות היציגים - 2001|bank_israel|No|NA|1|6|בנק ישראל|yehudit.golan@boi.org.il|בנק ישראל|||שערים ממוצעים לכל המטבעות היציגים - 2001
86|0|371|dataset|2020-06-11|הריבית הממוצעת על משכנתאות צמודות למדד ומחשבון לחישוב עמלת פירעון מוקדם|bank_israel|No|NA|1|6|בנק ישראל|yehudit.golan@boi.org.il|בנק ישראל|||הריבית הממוצעת על משכנתאות צמודות למדד ומחשבון לחישוב עמלת פירעון מוקדם.
87|0|374|dataset|2020-06-11|הריבית הקבועה הממוצעת על משכנתאות במיגזר השיקלי הלא-צמוד|bank_israel|No|NA|1|6|בנק ישראל|yehudit.golan@boi.org.il|בנק ישראל|||הריבית הקבועה הממוצעת על משכנתאות במיגזר השיקלי הלא-צמוד.
88|0|375|dataset|2023-01-23|רשימת תאגידים בנקאיים בישראל - כתובות וקישורים|bank_israel|No|Day|2|3|--|yehudit.golan@boi.org.il|בנק ישראל|other-open|אחר (פתוח)|רשימת תאגידים בנקאיים בישראל - כתובות וקישורים.
89|0|377|dataset|2023-01-09|קובץ חשבונות מוגבלים של תאגידים|bank_israel|No|NotConstant|2|4|--|yehudit.golan@boi.org.il|בנק ישראל|other-open|אחר (פתוח)|קובץ חשבונות מוגבלים של תאגידים.
90|0|379|dataset|2020-06-11|נתונים חודשיים ושיעורי שינוי במדד המשולב|bank_israel|No|NA|2|4|בנק ישראל|yehudit.golan@boi.org.il|בנק ישראל|||נתונים חודשיים ושיעורי שינוי במדד המשולב.
91|0|381|dataset|2020-06-11|תשואות לפדיון על מק"מ|bank_israel|No|NA|1|1|בנק ישראל|yehudit.golan@boi.org.il|בנק ישראל|||מאגר זה מכיל תשואות לפדיון על מק"מ.
92|0|408|dataset|2021-08-02|מתקני ספורט בישראל|culture_and_sports|No|NA|2|5|--|danieler@most.gov.il|משרד התרבות והספורט|other-open|Other (Open)|המאגר כולל למעלה מ 6,500 מתקנים בפירוט: כתובת, נ"צ, המפעיל, האם ניתן לשימוש פרטי, נגישות לנכים, חנייה, התאמה לתחרויות בינלאומיות.רשימת מתקני הספורט מתעדכנת מעת לעת במתקנים חדשים.
93|0|425|dataset|2020-06-11|רשימת מאגרי משרד החינוך|ministry_of_education|No|NA|1|1|משרד החינוך|inbalne@education.gov.il|משרד החינוך|||משרד החינוך מעמיד לרשות הציבור מידע רב בפורטלים, באתרים ובמערכות המשרד.מאגרי המידע של המשרד מפורסמים באוח, פורטל המשרד, בהקשרים המקצועיים שלהם.ברשימה זו ריכוז של מאגרי משרד החינוך עומדים לרשות הקהל הרחב.
94|1|46|dataset|2020-07-09|חברי פורום מדענים ראשיים|science-and-technology|No|NA|1|1|--|Elas@most.gov.il|משרד החדשנות, המדע והטכנולוגיה|cc-by|Creative Commons Attribution|חברי פורום מדענים ראשיים
95|0|48|dataset|2020-07-09|סל מדע לרשויות המקומיות|science-and-technology|No|NA|1|2|--|MinhaN@most.gov.il|משרד החדשנות, המדע והטכנולוגיה|||סל מדע לרשויות המקומיות
96|0|481|dataset|2023-02-27|ארכיון נתונים מטאורולוגיים|meteorological_service|No|Month|14|9|--|meirn@ims.gov.il|השירות המטאורולוגי|other-open|אחר (פתוח)|מאגר הנתונים הרשמי של השירות המטאורולוגי (שמ"ט) מוצג בזה לציבור, באמצעות פורטל השירותים והמידע הממשלתי (Data.Gov), מכיל מגוון נתונים מטאורולוגיים (טמפרטורה, לחות יחסית, לחץ, משקעים, רוח ועוד) מתחנות מדידה שפעלו ברחבי הארץ בתקופות שונות.המאגר מורכב משני חלקים: ארכיון נתונים מטאורולוגיים ומאגר נתונים עשר דקתיים (תחנות אוטומטיות). הנתונים שבארכיון הנתונים המטאורולוגים עברו תהליכי בקרה. עם זאת, מתגלה מדי פעם צורך בעדכונים ובתיקונים נוספים.
97|0|486|dataset|2022-08-08|מגמות בבטיחות בדרכים 2005-2011|betihut-drahim|No|NoUpdate|9|5|--|liatk@rsa.org.il|הרשות הלאומית לבטיחות בדרכים|||
98|0|49|dataset|2020-06-11|תמיכות במשלחות|science-and-technology|No|NA|1|1|--|MinhaN@most.gov.il|משרד החדשנות, המדע והטכנולוגיה|||תמיכות במשלחות
99|0|50|dataset|2020-06-11|תמיכה מצפים ציבוריים 2018|science-and-technology|No|NA|1|0|--|MinhaN@most.gov.il|משרד החדשנות, המדע והטכנולוגיה|||תמיכה מצפים ציבוריים 2018
100|2|500|dataset|2022-08-08|מאגר תעודות זהות פירות וירקות|ministry_of_agriculture|No|NotConstant|1|6|--|netaor@moag.gov.il|משרד החקלאות ופיתוח הכפר|other-open|Other (Open)|במאגר מרוכז כל המידע בנושא פירות וירקות: הנחיות שימור, פרמטרים לבדיקת איכות פרי או ירק, ערכים תזונתיים ומידע כללי. הערכים התזונתיים נקבעו על ידי משרד החקלאות האמריקאי (USDA) ונלקחו מאתר מועצת הצמחים. הערכים מחושבים לפי 100 גרם תוצרת. ההנחיות לשימור הוכנו על ידי חוקרי המכון לחקר אחסון ואיכות תוצרת חקלאית ומזון.
101|0|502|dataset|2021-10-13|רשימת מרכזי צלילה|culture_and_sports|No|NA|1|4|--|Adamk@most.gov.il|משרד התרבות והספורט|other-open|Other (Open)|רשימת מוסדות הכשרה - צלילה
103|0|503|dataset|2020-06-11|פריטים מוזאליים|culture_and_sports|No|NA|1|1|--|ShiritK@most.gov.il|משרד התרבות והספורט|cc-by|Creative Commons Attribution|קטלוג דיגיטלי של המוזאונים הרלוונטים
104|0|504|dataset|2020-06-11|סרטים|culture_and_sports|No|NA|2|1|--|soniael@most.gov.il|משרד התרבות והספורט|cc-by|Creative Commons Attribution|רשימת סרטים והסרטים עצמם
107|0|507|dataset|2023-02-06|רשימת מוסדות הכשרה - נהיגה ספורטיבית|culture_and_sports|No|NotConstant|1|3|--|yosini@most.gov.il|משרד התרבות והספורט|cc-by|Creative Commons Attribution|רשימת מוסדות הכשרה - נהיגה ספורטיבית
108|0|508|dataset|2020-06-11|דרגות רישיון נהיגה ספורטיבית|culture_and_sports|No|NA|1|4|--|yosini@most.gov.il|משרד התרבות והספורט|cc-by|Creative Commons Attribution|דרגות רישיון נהיגה ספורטיבית
109|0|51|dataset|2020-06-11|סל מדע פרוט לפי חוגים תשעז|science-and-technology|No|NA|1|2|--|MinhaN@most.gov.il|משרד החדשנות, המדע והטכנולוגיה|||סל מדע פרוט לפי חוגים תשעז
110|1|510|dataset|2020-06-11|מוזאונים מוכרים|culture_and_sports|No|NA|1|3|--|ShiritK@most.gov.il|משרד התרבות והספורט|cc-by|Creative Commons Attribution|רשימת המוזיאונים המוכרים על פי חוק, ומתוקצבים על ידי משרד התרבות והספורט.
111|0|517|dataset|2020-06-11|רשימת הקורסים והמוסדות המאושרים על פי החוק|culture_and_sports|No|NA|1|5|--|shlomosa@most.gov.il|משרד התרבות והספורט|cc-by|Creative Commons Attribution|כל מוסד/קורס רשומים פרטי הקורס שאושר: מקום הקורס לשיעורים העיוניים והמעשיים, תוקף אישור ההכרה.חשוב לציין כי קורס שתם מועד ההכרה שלו ,אינו חוקי ואין להירשם/להשתתף בקורס זה.
112|0|518|dataset|2020-06-11|מידעונים למוסדות הכשרה|culture_and_sports|No|NA|1|2|--|ohad.gl@gmail.com|משרד התרבות והספורט|cc-by|Creative Commons Attribution|הודעות ונהלים שונים למוסדות הכשרה בתחום הספורט
113|0|519|dataset|2020-07-09|תוכניות לימודית להכשרת מדריכים|culture_and_sports|No|NA|2|1|--|shlomosa@most.gov.il|משרד התרבות והספורט|cc-by|Creative Commons Attribution|תוכנית לימודים והנחיות למוסדות להכשרת מדריכים עבור כל ענף ספורט
114|1|52|dataset|2020-06-11|ההיסטוריה של משרד המדע והטכנולוגיה|science-and-technology|No|NA|1|3|--|Libio@most.gov.il|משרד החדשנות, המדע והטכנולוגיה|cc-by|Creative Commons Attribution|היסטוריה של המשרדמשרד המדע והטכנולוגיה הוקם כמשרד עצמאי בשנת 1982 על ידי פרופ' יובל נאמן ונקרא בתחילה "משרד המדע והפיתוח". לפני הקמת המשרד, היה תחום המדע והטכנולוגיה באחריות "המועצה המדעית" ולאחר מכן באחריות "המועצה הלאומית למחקר ופיתוח" במסגרת משרד ראש הממשלה עד לשנת 1977. משנה זו ועד להקמת המשרד, היה התחום תחת משרד האנרגיה והתשתיות. בין השנים 1999 ל-2009 שונה שמו והגדרת תפקידו של המשרד ל"משרד המדע, התרבות והספורט" ולאחר עשור זה הוחלט על פיצול המשרד המאוחד לשני משרדים נפרדים - משרד המדע והטכנולוגיה ומשרד התרבות והספורט.
115|0|520|dataset|2020-06-11|תוכניות לימודית להכשרת מאמנים|culture_and_sports|No|NA|1|1|--|shlomosa@most.gov.il|משרד התרבות והספורט|cc-by|Creative Commons Attribution|תוכנית לימודים והנחיות למוסדות להכשרת מאמנים עבור כל ענף ספורט
116|0|521|dataset|2021-06-22|הכשרת מאמנים - ענפי קרב מוכרים|culture_and_sports|No|NA|1|1|--|shlomosa@most.gov.il|משרד התרבות והספורט|cc-by|Creative Commons Attribution|רשימת ענפי הקרב המוכרים על ידי מנהל הספורט
117|0|53|dataset|2020-06-11|מנכ"לי משרד המדע לדורותיהם|science-and-technology|No|NA|1|1|--|Libio@most.gov.il|משרד החדשנות, המדע והטכנולוגיה|cc-by|Creative Commons Attribution|מנכ"לי משרד המדע לדורותיהם
118|0|531|dataset|2020-06-11|שינויי תקציב 2012|mof|No|NA|1|3|משרד האוצר|talid@mof.gov.il|משרד האוצר|||
119|0|532|dataset|2020-06-11|סל הספורט - מנהלי מחלקות ספורט ברשויות המקומיות|culture_and_sports|No|NA|1|1|--|oferbu@most.gov.il|משרד התרבות והספורט|cc-by|Creative Commons Attribution|רשימת מנהלי מחלקות ספורט ברשויות המקומיות
120|0|534|dataset|2020-06-11|תקציב וביצוע 2012|mof|No|NA|1|3|משרד האוצר|talid@mof.gov.il|משרד האוצר|||מאגר המכיל נתונים על תקציב וביצוע לשנת 2012.
121|0|535|dataset|2020-06-11|סל הספורט - סוגי מתקנים|culture_and_sports|No|NA|1|2|--|oferbu@most.gov.il|משרד התרבות והספורט|cc-by|Creative Commons Attribution|סל הספורט - סוגי מתקנים
122|0|536|dataset|2020-06-11|ספורט הישגי - גיל ספורטאים פעילים בענפי הספורט|culture_and_sports|No|NA|1|3|--|duduma@most.gov.il|משרד התרבות והספורט|cc-by|Creative Commons Attribution|גיל ספורטאים פעילים בענפי הספורט
123|1|537|dataset|2020-06-11|עולים שעלו משנת 1989 עד 2012 לפי שנות עלייה וחודשי עלייה|ministry_of_immigrant_absorption|No|NA|1|5|המשרד לקליטת עליה|zvie@moia.gov.il|משרד העלייה והקליטה|||
124|0|538|dataset|2020-06-11|עולים שעלו משנת 1989 עד 2012 לפי שנות עלייה וארצות מוצא עיקריות|ministry_of_immigrant_absorption|No|NA|1|1|משרד לקליטת עליה|zvie@moia.gov.il|משרד העלייה והקליטה|||
126|0|539|dataset|2020-06-11|עולים שעלו משנת 1989 עד 2012 לפי שנות עלייה ותתי יבשות מוצא|ministry_of_immigrant_absorption|No|NA|1|1|משרד לקליטת עליה|shalombe@moia.gov.il|משרד העלייה והקליטה|||
127|1|54|dataset|2020-06-11|ארגונים ומוסדות הפועלים בישראל לקידום נשים במדע ובטכנולוגיה|science-and-technology|No|NA|1|1|--|Elas@most.gov.il|משרד החדשנות, המדע והטכנולוגיה|cc-by|Creative Commons Attribution|ארגונים ומוסדות הפועלים בישראל לקידום נשים במדע ובטכנולוגיה
128|0|541|dataset|2020-06-11|מוזאונים - רשימת מומחי שימור|culture_and_sports|No|NA|1|1|--|ShiritK@most.gov.il|משרד התרבות והספורט|cc-by|Creative Commons Attribution|רשימת מומחי שימור שאושרו בוועדת בדיקה מטעם המחלקה למוזאונים במשרד התרבות
129|0|542|dataset|2020-06-08|רשימת יחידים בעלי רישיון יועצים/משווקים/מנהלי תיקים|isa|No|NA|1|4|רשות ניירות הערך|YaelT@isa.gov.il|רשות ניירות ערך|||רשימת בעלי רישיון לעיסוק בהשקעות: יועצי השקעות, משווקי השקעות, מנהלי תיקי השקעות. מאגר בעדכון יומי.
