n|name|type|date|title|org|geo|freq|resources|tags|author|email|orgh|licID|lictitle|notes
11|1minrain|dataset|2023-03-21|גשם דקתי|meteorological_service|No|NA|85|3|--|abramoviche@ims.gov.il|השירות המטאורולוגי|other-open|Other (Open)|בקבצים שלהלן מוצגים נתוני הגשם הדקתיים ב-84 תחנות אוטומטיות של השירות המטאורולוגי.  להלן מספר הערות אותן יש לקרוא לפני שמשתמשים בנתונים:1. תקופת המדידה: הנתונים מעודכנים עד 30/11/2021 בכל התחנות, למעט מספר קטן של תחנות שהפסיקו לפעול לפני כן ( מרחביה,  חיפה נמל, שערי תקווה). תחילת הנתונים ברוב התחנות היא בשנת 2009. במספר תחנות ישנם נתונים כבר מ-2006 ובכמה תחנות מ-2010 או 2011. 2. התחנות פעלו בדרך כלל ללא הפסקה, למעט מספר קטן של מקרים והדבר מצוין בתוך קבצי התחנות.3. רציפות הנתונים הדקתיים: מוצגות רק הדקות בהן היתה מדידה של גשם. דקות בהן לא ירד גשם אינן מוצגות, כך שאין למעשה רצף של נתונים דקתיים.4. בכל קובץ מוצג הנתון שנמדד ולצידו נתון מתוקן. הצורך בתיקון נובע מעיקרון הפעולה של מד הגשם בתחנה האוטומטית, שגורם למדידת חסר בעוצמות גשם גבוהות. התיקון נדרש החל מעוצמת גשם של 0.7 מ"מ לדקה והוא גדל ככל שעוצמת הגשם גדלה. התיקון הוא על פי נוסחה של היצרן של מד הגשם (למברכט).
12|20|dataset|2023-03-21|חוגי מדע - דרכי התקשרות עם מפעילי החוגים|science-and-technology|No|NA|1|1|--|netanelm@most.gov.il|משרד החדשנות, המדע והטכנולוגיה|||דרכי התקשורת עם רשתות החוגים ברשויות המקומיות
13|2004-1997|dataset|2023-03-21|תקציב וביצוע 2004-1997 כולל יתרת התחיבויות|mof|No|NA|1|2|--|mluria@mof.gov.il|משרד האוצר|||עדכון נתוני תקציב המדינה וביצועו לשנים 2004-1997
14|2005|dataset|2023-03-21|שינויי תקציב 2005|mof|No|NA|2|4|משרד האוצר|talid@mof.gov.il|משרד האוצר|||
15|2005-2008|dataset|2023-03-21|תקציב וביצוע 2005-2008|mof|No|NA|1|3|משרד האוצר|talid@mof.gov.il|משרד האוצר|||מאגר המכיל תקציב וביצוע בין השנים 2005-2008.
16|2005-2011|dataset|2023-03-21|שינויי תקציב 2005-2011|mof|No|NA|1|4|משרד האוצר|talid@mof.gov.il|משרד האוצר|||מאגר המכיל נתונים על שינויי תקציב בין השנים 2005-2011.
17|2006|dataset|2023-03-21|שינויי תקציב 2006|mof|No|NA|2|4|משרד האוצר|talid@mof.gov.il|משרד האוצר|||
18|2007|dataset|2023-03-21|שינויי תקציב 2007|mof|No|NA|2|4|משרד האוצר|talid@mof.gov.il|משרד האוצר|||
19|2008|dataset|2023-03-21|שינויי תקציב 2008|mof|No|NA|2|4|משרד האוצר|talid@mof.gov.il|משרד האוצר|||
20|2009|dataset|2023-03-21|שינויי תקציב 2009|mof|No|NA|2|4|--|talid@mof.gov.il|משרד האוצר|other-open|Other (Open)|
21|2009-2011|dataset|2023-03-21|תקציב וביצוע 2009-2011|mof|No|NA|1|3|משרד האוצר|talid@mof.gov.il|משרד האוצר|||מאגר המכיל נתונים על תקציב וביצוע בין השנים 2009-2011.
22|2010|dataset|2023-03-21|שינויי תקציב 2010|mof|No|NA|2|4|משרד האוצר|talid@mof.gov.il|משרד האוצר|||
23|2010-2019|dataset|2023-07-23|קובץ אחוד ארצי של סקרי הרגלי נסיעה 2010-2019|ministry_of_transport|No|NoUpdate|3|2|--|Felixs@ayalonhw.co.il|משרד התחבורה והבטיחות בדרכים|other-open|Other (Open)|קובץ זה מרכז מידע של סקרי הרגלי נסיעה אזוריים שנערכו בישראל בעשור האחרון, כולל סקרים באזור מטרופולין ירושלים, במטרופולין תל אביב, במחוזות חיפה והצפון, במטרופולין באר שבע, וסקר משלים באיו"ש. הקובץ כולל את המידע שנאסף בין השנים 2010 עד 2019 על הרגלי הנסיעה של כ-38,500 משקי בית.
24|2011|dataset|2023-03-21|שינויי תקציב 2011|mof|No|NA|2|3|משרד האוצר|talid@mof.gov.il|משרד האוצר|||
25|2012-2005|dataset|2023-03-21|תקציב וביצוע 2012-2005 כולל יתרת התחיבויות|mof|No|NA|1|2|--|mluria@mof.gov.il|משרד האוצר|||עדכון נתוני תקציב המדינה וביצועו לשנים 2012-2005
26|2013|dataset|2023-03-21|אוכלוסייה ומקבלי גמלאות לפי יישוב - שנת 2013|social_security|No|NA|25|6|--|cochava@nioi.gov.il|המוסד לביטוח לאומי|||מובאים בזאת נתונים דמוגרפיים על האוכלוסייה בישראל לפי קבוצות גיל ונתונים על מספר מקבלי הקצבאות במוסד לביטוח לאומי לפי יישוב, מועצה אזורית, מחוז ונפה לפי שנים. כמו כן, מובאים נתונים על סכום קצבה ממוצע בכל יישוב, מועצה אזורית, מחוז או נפה לפי סוג הקצבה.הנתונים המוצגים נוגעים לגודל האוכלוסייה בכל יישוב ולהתפלגותה לפי גיל: צעירים עד גיל 18, גילאי עבודה וקשישים. מידע זה יאפשר מדידת "יחס התלות הכלכלית" בכל יישוב והשוואה בין יישובים. למדד זה חשיבות רבה במדידת חוסנו הכלכלי של היישוב.
27|2014|dataset|2023-03-21|אוכלוסייה ומקבלי גמלאות לפי יישוב - שנת 2014|social_security|No|NA|24|2|--|cochava@nioi.gov.il|המוסד לביטוח לאומי|||מובאים בזאת נתונים דמוגרפיים על האוכלוסייה בישראל לפי קבוצות גיל ונתונים על מספר מקבלי הקצבאות במוסד לביטוח לאומי לפי יישוב, מועצה אזורית, מחוז ונפה לפי שנים. כמו כן, מובאים נתונים על סכום קצבה ממוצע בכל יישוב, מועצה אזורית, מחוז או נפה לפי סוג הקצבה.הנתונים המוצגים נוגעים לגודל האוכלוסייה בכל יישוב ולהתפלגותה לפי גיל: צעירים עד גיל 18, גילאי עבודה וקשישים. מידע זה יאפשר מדידת "יחס התלות הכלכלית" בכל יישוב והשוואה בין יישובים. למדד זה חשיבות רבה במדידת חוסנו הכלכלי של היישוב.
28|2015-2013|dataset|2023-03-21|תקציב וביצוע 2015-2013 כולל יתרת התחיבויות|mof|No|NA|1|2|--|mluria@mof.gov.il|משרד האוצר|||עדכון נתוני תקציב המדינה וביצועו לשנים 2015-2013
29|2017|dataset|2023-03-21|דוח מסכם 2017 - דיווחי ביצוע על החלטות ממשלה|pmo|No|NA|1|12|--|urid@pmo.gov.il|משרד ראש הממשלה |||מעקב אחר ביצוע החלטות הממשלה ה-34 שיועדו להתבצע בין השנים 2015-2017.
30|2017-2018|dataset|2023-03-21|הצעת תקציב לשנים 2017-2018|mof|No|NA|1|4|--|mluria7@gmail.com|משרד האוצר|||הצעת תקציב לשנים 2017-2018
31|2018|dataset|2023-03-21|מקוואות טהרה 2018|religion-office|No|NA|1|3|--|michal@dat.gov.il|המשרד לשירותי דת|other-open|Other (Open)|מקוואות טהרה בישראל, כתובות, פרטי קשר ושעות פעילות
32|2018-2017|dataset|2023-03-21|תקציב מקורי 2018-2017|mof|No|NA|1|2|--|mluria@mof.gov.il|משרד האוצר|||תקציב מקורי לשנים 2018-2017 ברמת תקנה
33|2018-puf|dataset|2024-09-09|תאונות דרכים עם נפגעים - 2018 - PUF מקוצר|lamas|No|Year|6|2|--|info@cbs.gov.il|הלשכה המרכזית לסטטיסטיקה|other-open|Other (Open)|תאונות דרכים עם נפגעים 2018 מסוג ת"ד מורחב - קובץ מקוצר
34|2019infrastructure|dataset|2023-03-21|תשתית לצמיחה 2019 - התכנית הרב שנתית לפיתוח תשתיות|pmo|No|NA|1|7|--|urid@pmo.gov.il|משרד ראש הממשלה |cc-by|Creative Commons Attribution|בקובץ זה מופיעים כלל הפרויקטים של משרדי הממשלה, מלבד משרד החינוך ומשרד העבודה, הרווחה והשירותים החברתיים.
35|2020|dataset|2023-03-21|תשתית לצמיחה 2020 - התכנית הרב שנתית לפיתוח תשתיות|pmo|No|NA|1|7|--|tomers@cio.gov.il|משרד ראש הממשלה |other-open|Other (Open)|בקובץ זה מופיעים כלל פרויקטי התשתיות בישראל שעלות הקמתם 100 מלש"ח או יותר, שהחלו הקמה או צפויים להתחיל הקמה בחמש השנים הקרובות, ושעברו בחינת כדאיות כלכלית ואישור תקציבי או שקיימת לגביהם החלטת ממשלה (הקובץ אינו כולל את הפרויקטים של משרד החינוך אשר מופיעים בתכנית שפורסמה באתר משרד ראש הממשלה).
36|2020-puf|dataset|2024-09-09|תאונות דרכים עם נפגעים - 2020 - PUF מקוצר|lamas|No|Year|6|2|--|info@cbs.gov.il|הלשכה המרכזית לסטטיסטיקה|other-open|Other (Open)|תאונות דרכים עם נפגעים 2020 מסוג ת"ד מורחב - קובץ מקוצר
37|2021|dataset|2023-03-21|היחידה לחופש המידע - דוח שנתי 2021|ministry_of_justice|No|NotConstant|2|0|--|yehudakat@justice.gov.il|משרד המשפטים|other-open|Other (Open)|נתונים גולמיים של דו"ח חופש המידע 2021 – נתונים בחתך של משרדי ממשלה ויחידות הסמך אודות זמני המענה לבקשות חופש מידע, עילות דחיה של בקשות, התפלגות תוצאת הטיפול וסכומי אגרות, כפי שהתקבלו בדיווחי הממונים על העמדת מידע לציבור לשנת 2021.
38|2021-puf|dataset|2024-09-09|תאונות דרכים עם נפגעים - 2021 - PUF מקוצר|lamas|No|Year|6|2|--|info@cbs.gov.il|הלשכה המרכזית לסטטיסטיקה|other-open|Other (Open)|תאונות דרכים עם נפגעים 2021 מסוג ת"ד מורחב - קובץ מקוצר
39|2022|dataset|2024-06-03|מפקד האוכלוסין והדיור 2022|lamas|No|NotConstant|3|2|--|serafimam@cio.gov.il|הלשכה המרכזית לסטטיסטיקה|other-open|Other (Open)|מטרת המפקד היא לקבל תמונה מלאה ומהימנה של אוכלוסיית המדינה ומאפייניה ובכלל זה נתונים דמוגרפיים, חברתיים וכלכליים בכל יישוב בארץ. הנתונים ישמשו את קובעי  המדיניות המקומית והארצית. ייחודו של מפקד האוכלוסין הוא באפשרות לחקור קבוצות אוכלוסייה קטנות ומיוחדות ולקבל מידע על יחידות גאוגרפיות קטנות.
40|2023|dataset|2024-09-29|מעקב אחר ביצוע משימות החלטות ממשלה לשנת 2023|pmo|No|NotConstant|2|17|--|hibas@pmo.gov.il|משרד ראש הממשלה |other-open|Other (Open)|במסגרת מהלכיו הרוחביים לשיפור, ייעול וחיזוק יכולות הביצוע של הממשלה, אגף ממשל וחברה במשרד ראש הממשלה מבצע החל משנת 2015 מעקב אחר ביצוע החלטות הממשלה. אחת לשנה האגף מרכז את דיווחי הביצוע של כלל משרדי הממשלה ויחידות הסמך ומפרסם אותם לציבור. פרסום זה הנו חלק מהשגרות הממשלתיות של תהליכי התכנון, המעקב והבקרה הן ברמה המשרדית והן ברמה הממשלתית.הדו"ח המובא בפניכם עוקב אחר דיווחי הביצוע של המשימות הביצועיות היוצאות מהחלטות הממשלה לשנת 2023 ומציג תמונת מצב עדכנית בהתאם לדיווחים שמסרו משרדי הממשלה ויחידות הסמך.
41|2023-puf|dataset|2024-09-09|תאונות דרכים עם נפגעים - 2023 - PUF מקוצר|lamas|No|Year|6|1|--|info@cbs.gov.il|הלשכה המרכזית לסטטיסטיקה|other-open|Other (Open)|תאונות דרכים עם נפגעים 2023 מסוג ת"ד מורחב - קובץ מקוצר
42|2024_2025|dataset|2024-08-21|מועדי מרכזי שירות של הרשות לזכויות ניצולי השואה לחודשים ספטמבר 2024 עד מרץ 2025|holocaust_survivors_rights|No|NotConstant|1|2|--|noama@hsa.gov.il|הרשות לזכויות ניצולי השואה|other-open|Other (Open)|במאגר המידע הזה יופיעו מוקדי ומועדי קבלת הקהל של הרשות לזכויות ניצולי השואה בערים שונות ברחבי הארץ מתל חי שבצפון ועד אילת שבדרום.
43|2025|dataset|2025-02-17|תעריפי חלקות קבר מחיים 2025|religion-office|No|NoUpdate|1|0|--|michal@dat.gov.il|המשרד לשירותי דת|other-open|Other (Open)|תעריפי רכישת חלקת קבר מחיים 2025
44|2025-2026|dataset|2025-09-18|מועדי מרכזי שירות של הרשות לזכויות ניצולי השואה לחודשים אוגוסט 2025 עד מרץ 2026|holocaust_survivors_rights|No|NotConstant|1|3|--|noama@hsa.gov.il|הרשות לזכויות ניצולי השואה|other-open|אחר (פתוח)|במאגר המידע הזה יופיעו מוקדי ומועדי קבלת הקהל של הרשות לזכויות ניצולי השואה בערים שונות ברחבי הארץ מתל חי שבצפון ועד אילת שבדרום.
45|2030|dataset|2024-08-01|צפיפות מקומות עבודה לשנת 2030|ministry_of_transport|No|NotConstant|4|5|--|pinusi@mot.gov.il|משרד התחבורה והבטיחות בדרכים|other-open|Other (Open)|צפיפות מקומות עבודה לשנת 2030 - ארצי
46|206|dataset|2023-03-21|מדד חוף נקי|ministry_of_the_environment|No|Year|1|3|--|pniot@sviva.gov.il|המשרד להגנת הסביבה|||מדד חוף נקי הוא כלי המשמש להערכה אחידה ואובייקטיבית של מידת ניקיון חופי הארץ הלא מוכרזים, בים התיכון ובמפרץ אילת.המדד מספק מידע שקוף ועדכני על מצב הניקיון בחופים אלו ומסייע לפעילות האכיפה של המשרד להגנת הסביבה, מול רשויות שלא מבצעות את חובתן בשמירה על ניקיון חופיהן.
47|209|dataset|2023-03-21|עמותות וארגונים למען בעלי חיים|ministry_of_the_environment|No|NotConstant|1|5|המשרד להגנת הסביבה|pniot@sviva.gov.il|המשרד להגנת הסביבה|||רשימת עמותות וארגונים למען בעלי חיים בישראל, לינק למאגר באתר המשרד: https://www.gov.il/he/departments/guides/animal_ngo_and_organizations
48|21|dataset|2023-03-21|מרכזי חונכות ללימודי מדעים|science-and-technology|No|NA|1|1|--|netanelm@most.gov.il|משרד החדשנות, המדע והטכנולוגיה|||"במסגרת פרויקט ""חונכות ללימודי מדעים"" בשותפות פר""ח, מלווים סטודנטים וסטודנטיות מתחומי ההנדסה, הטכנולוגיה והמדעים המדויקים תלמידים ותלמידות התיכון ומעבירים להם שיעורי עזר במקצועות הריאליים, המדעים והאנגלית. ברשימה מרכזי פר""ח ופרטים ליצירת קשר"
49|257|dataset|2023-03-21|פרסום מידע תעופתי פנים ארצי|ministry_of_transport|No|NA|1|6|משרד התחבורה -רשות התעופה האזרחית|Rapha@mot.gov.il|משרד התחבורה והבטיחות בדרכים|||פרסום מידע תעופתי פנים ארצי (פמ''ת) כולל מידע, כללים והוראות לביצוע טיסות אזרחיות במרחב האוירי של מדינת ישראל וכן מידע אודות שרותי התעבורה האוירית האזרחית (פקוח טיסה, בקרה מרחבית, מודיעין טיס וכו').
50|258|dataset|2023-03-21|מאגר דוחות חקירה בטיחותיים|ministry_of_transport|No|NA|1|5|משרד התחבורה משרד החוקר הראשי|webmaster@mot.gov.il|משרד התחבורה והבטיחות בדרכים|cc-by|Creative Commons Attribution|מאגר דוחות חקירה בטיחותיים בתחום התעופה האזרחית.
51|276|dataset|2023-03-21|חנויות ומסעדות בנתב"ג|airport_authority|No|NA|1|2|רשות שדות התעופה|yerael@tehila.gov.il|רשות שדות התעופה|||
52|278|dataset|2023-03-21|כתובות של שדות תעופה ומעברי גבול|airport_authority|No|NA|1|5|רשות שדות התעופה|yerael@tehila.gov.il|רשות שדות התעופה|||מאגר כתובות של שדות תעופה ומעברי גבול.
53|280|dataset|2023-03-21|סטטיסטיקה מעברי גבול|airport_authority|No|NA|1|3|רשות שדות התעופה|yerael@tehila.gov.il|רשות שדות התעופה|||מאגר זה מכיל סטטיסטיקה מעברי גבול.
54|285|dataset|2023-03-21|רשימת סניפי ביטוח לאומי|social_security|No|NA|1|4|ביטוח לאומי|cochava@nioi.gov.il|המוסד לביטוח לאומי|||מאגר המכיל רשימת סניפי הביטוח לאומי.
55|287|dataset|2023-03-21|הסכום הבסיסי לחישוב קיצבאות|social_security|No|NA|1|4|ביטוח לאומי|cochava@nioi.gov.il|המוסד לביטוח לאומי|||מאגר זה מכיל נתונים על הסכום הבסיסי לחישוב קיצבאות.
56|288|dataset|2023-03-21|שכר מינימום|social_security|No|NA|1|3|ביטוח לאומי|cochava@nioi.gov.il|המוסד לביטוח לאומי|||שכר מינימום מעודכן:שכר יומי למועסק 5 ימים בשבוע: 214.62 ש"ח (החל ב- 01.04.2015)שכר יומי למועסק 6 ימים בשבוע: 186.00 ש"ח (החל ב- 01.04.2015)שכר לשעה: 25.00 ש"ח (החל ב- 01.04.2015)שכר חודשי: 4,650.00 ש"ח (החל ב- 01.04.2015)
57|289|dataset|2023-03-21|שיעור דמי הביטוח כאחוז מההכנסה - שכיר בגיל הביטוח|social_security|No|NA|1|4|ביטוח לאומי|cochava@nioi.gov.il|המוסד לביטוח לאומי|||מאגר זה מכיל נתונים על שיעור דמי הביטוח כאחוז מההכנסה - שכיר בגיל הביטוח.
58|29|dataset|2023-03-21|קייטנות מדע קיץ|science-and-technology|No|NA|1|3|--|netanelm@most.gov.il|משרד החדשנות, המדע והטכנולוגיה|cc-by|Creative Commons Attribution|קייטנות מדע קיץ
59|290|dataset|2023-03-21|שיעור דמי הביטוח כאחוז מההכנסה - עצמאי בגיל הביטוח|social_security|No|NA|1|4|ביטוח לאומי|cochava@nioi.gov.il|המוסד לביטוח לאומי|||מאגר זה מכיל נתונים על שיעור דמי הביטוח כאחוז מההכנסה - עצמאי בגיל הביטוח.
60|291|dataset|2023-03-21|שיעור דמי הביטוח כאחוז מההכנסה - לא עובד שכיר ולא עובד עצמאי בגיל הביטוח|social_security|No|NA|1|3|ביטוח לאומי|cochava@nioi.gov.il|המוסד לביטוח לאומי|||מאגר זה מכיל נתונים על שיעור דמי הביטוח כאחוז מההכנסה - לא עובד שכיר ולא עובד עצמאי בגיל הביטוח.
61|292|dataset|2023-06-18|הכנסה מזערית ומרבית לחישוב דמי ביטוח ותקרת הכנסה לשיעור מופחת - עובד שכיר ומעסיק|social_security|No|NoUpdate|1|7|--|cochava@nioi.gov.il|המוסד לביטוח לאומי|other-open|Other (Open)|מאגר זה מכיל נתונים על הכנסה מזערית ומרבית לחישוב דמי ביטוח ותקרת הכנסה לשיעור מופחת - עובד שכיר ומעסיק.
62|293|dataset|2023-03-21|הכנסה מזערית ומרבית לחישוב דמי ביטוח ותקרת הכנסה לשיעור מופחת - עובד עצמאי|social_security|No|NA|1|6|ביטוח לאומי|cochava@nioi.gov.il|המוסד לביטוח לאומי|||מאגר זה מכיל נתונים על הכנסה מזערית ומרבית לחישוב דמי ביטוח ותקרת הכנסה לשיעור מופחת - עובד עצמאי.
63|294|dataset|2023-03-21|הכנסה מזערית ומרבית לחישוב דמי ביטוח ותקרת הכנסה לשיעור מופחת - לא עובד ולא עצמאי|social_security|No|NA|1|6|ביטוח לאומי|cochava@nioi.gov.il|המוסד לביטוח לאומי|||הכנסה מזערית ומרבית לחישוב דמי ביטוח ותקרת הכנסה לשיעור מופחת - לא עובד ולא עובד.
64|30|dataset|2023-03-21|וועדות לאומיות מולמו"פ|science-and-technology|No|NA|1|1|--|rachelr@most.gov.il|משרד החדשנות, המדע והטכנולוגיה|||רשימת וועדות לאומיות מולמו"פ
65|30-2021|dataset|2023-03-21|אומדן ביצוע ליום 30 ביוני2021 - לא מבוקר|mof|No|NA|1|4|--|pniyot.misradim@mof.gov.il|משרד האוצר|other-open|Other (Open)|דוח זה הופק מתוך המערכות התפעוליות, מהווה תמונת מצב חלקית בלבד ואין להסיק ממנו מסקנות לעניין הביצוע התקציבי בתוכנית זו או אחרת לגבי שנת 2021
66|30-6-2022|dataset|2024-11-25|אומדן תקציב וביצוע ליום 30-6-2022 לא מבוקר|mof|No|NoUpdate|1|2|--|pniyot.misradim@mof.gov.il|משרד האוצר|other-open|Other (Open)|דוח זה כולל מידע שנרשם במערכת התפעולית על ידי יחידות הממשלה המדווחות לנקודת חתך של ה-30.6.2022. הנתונים המוצגים בתכניות התקציביות השונות בדוח אינם מייצגים תמונה תקציבית מלאה של פעילות היחידות עבור תקופת הדיווח. נתוני הביצוע כוללים גם ביצוע מתוך מסגרות הקורונה.
67|30-6-2023|dataset|2024-01-01|אומדן ביצוע ליום 30-6-2023 לא מבוקר|mof|No|NoUpdate|1|2|--|pniyot.misradim@mof.gov.il|משרד האוצר|other-open|Other (Open)|דוח זה כולל מידע שנרשם במערכת התפעולית על ידי יחידות הממשלה המדווחות לנקודת חתך של ה-30.6.2023. נתונים המוצגים בתכניות התקציביות השונות בדוח אינם מייצגים תמונה תקציבית מלאה של פעילות היחידות עבור תקופת הדיווח. נתוני הביצוע כוללים גם ביצוע מתוך מסגרות הקורונה.
68|30-6-2024|dataset|2024-09-16|אומדן ביצוע ליום 30-6-2024 לא מבוקר|mof|No|NoUpdate|1|2|--|pniyot.misradim@mof.gov.il|משרד האוצר|other-open|Other (Open)|דוח זה כולל מידע שנרשם במערכת התפעולית על ידי יחידות הממשלה המדווחות לנקודת חתך של ה-30.6.2024.
69|30-6-2025|dataset|2025-09-11|אומדן ביצוע ליום 30-6-2025|mof|No|NoUpdate|1|2|--|pniyot.misradim@mof.gov.il|משרד האוצר|other-open|אחר (פתוח)|דוח זה כולל מידע שנרשם במערכת התפעולית על ידי יחידות הממשלה המדווחות לנקודת חתך של ה-30.6.2025.
70|30-9-2021|dataset|2023-03-21|אומדן ביצוע ליום 30 בספטמבר 2021 - לא מבוקר|mof|No|NA|1|0|--|pniyot.misradim@mof.gov.il|משרד האוצר|other-open|Other (Open)|דוח זה כולל מידע שנרשם במערכת התפעולית ע"י יחידות הממשלה המדווחות לנקודת חתך של ה-30/9/2021.הנתונים המוצגים בתוכניות התקציביות השונות בדוח אינם מייצגים תמונה תקציבית מלאה של פעילות היחידות עבור תקופת הדיווח.נתוני הביצוע כוללים גם ביצוע מתוך מסגרות הקורונה.
71|30-9-2022|dataset|2024-11-18|אומדן תקציב וביצוע ליום 30-9-2022 לא מבוקר|mof|No|NoUpdate|2|2|--|pniyot.misradim@mof.gov.il|משרד האוצר|other-open|Other (Open)|דוח זה כולל מידע שנרשם במערכת התפעולית על ידי יחידות הממשלה המדווחות לנקודת חתך של ה-30.9.2022. הנתונים המוצגים בתכניות התקציביות השונות בדוח אינם מייצגים תמונה תקציבית מלאה של פעילות היחידות עבור תקופת הדיווח. נתוני הביצוע כוללים גם ביצוע מתוך מסגרות הקורונה.
72|30-9-2023|dataset|2024-01-01|אומדן ביצוע ליום 30-9-2023 לא מבוקר|mof|No|NoUpdate|1|2|--|pniyot.misradim@mof.gov.il|משרד האוצר|other-open|Other (Open)|דוח זה כולל מידע שנרשם במערכת התפעולית על ידי יחידות הממשלה המדווחות לנקודת חתך של ה-30.9.2023.נתונים המוצגים בתכניות התקציביות השונות בדוח אינם מייצגים תמונה תקציבית מלאה של פעילות היחידות עבור תקופת הדיווח. נתוני הביצוע כוללים גם ביצוע מתוך מסגרות הקורונה.
73|30-9-2024|dataset|2024-12-29|אומדן ביצוע ליום 30-9-2024 לא מבוקר|mof|No|NoUpdate|1|2|--|pniyot.misradim@mof.gov.il|משרד האוצר|other-open|Other (Open)|דוח זה כולל מידע שנרשם במערכת התפעולית על ידי יחידות הממשלה המדווחות לנקודת חתך של ה-30.9.2024.
74|31-2021|dataset|2023-03-21|אומדן ביצוע ליום 31 למרץ 2021 - לא מבוקר|mof|No|NA|1|4|--|pniyot.misradim@mof.gov.il|משרד האוצר|other-open|Other (Open)|דוח זה הופק מתוך המערכות התפעוליות ומהווה תמונת מצב חלקית בלבד ואין להסיק ממנו מסקנות לעניין הביצוע התקציבי בתכנית זו או אחרת לגבי שנת 2021.
75|31-2022|dataset|2023-03-21|אומדן תקציב וביצוע ליום 31 במרץ 2022 - לא מבוקר|mof|No|NA|1|2|--|pniyot.misradim@mof.gov.il|משרד האוצר|other-open|Other (Open)|דוח זה כולל מידע שנרשם במערכת התפעולית על ידי יחידות הממשלה המדווחות לנקודת חתך של ה-31/3/2022. הנתונים המוצגים בתכניות התקציביות השונות בדוח אינם מייצגים תמונה תקציבית מלאה של פעילות היחידות עבור תקופת הדיווח. נתוני הביצוע כוללים גם ביצוע מתוך מסגרות הקורונה.
76|31-3-2023|dataset|2023-06-11|אומדן ביצוע ליום 31-3-2023 לא מבוקר|mof|No|NoUpdate|1|2|--|pniyot.misradim@mof.gov.il|משרד האוצר|other-open|Other (Open)|דוח זה כולל מידע שנרשם במערכת התפעולית על ידי יחידות הממשלה המדווחות לנקודת חתך של ה-31.3.2023. נתונים המוצגים בתכניות התקציביות השונות בדוח אינם מייצגים תמונה תקציבית מלאה של פעילות היחידות עבור תקופת הדיווח. נתוני הביצוע כוללים גם ביצוע מתוך מסגרות הקורונה.
